0.00000000000000e+00    	0.00000000000000e+00 	 -9.51056516300000e-01  	3.09016994370000e-01    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.57000000000000e+00    	1.19536412085563e-03 	 -9.71334263247568e-01   3.07510065788974e-01 	1.64747130283227e-02	 -1.04512108949861e-01	-3.00185767574149e-03		1.00558600240657e+00
3.60000000000000e+00    	1.71224981083462e-03 	 -9.74109997999041e-01   3.07424158534939e-01 	1.81152298160240e-02	 -8.06092453406650e-02	-2.74878029101052e-03		1.00341096654300e+00
3.63000000000000e+00    	2.27847213461367e-03 	 -9.76110630352410e-01   3.07345553418603e-01 	1.97441641128049e-02	 -5.24550526746479e-02	-2.51245904276959e-03		1.00157260197055e+00
3.66000000000000e+00    	2.89731921631713e-03 	 -9.77216757032039e-01   3.07272875922472e-01 	2.16086889076218e-02	 -2.08675951519731e-02	-2.35572742170519e-03		1.00045386770976e+00
3.69000000000000e+00    	3.57855079440969e-03 	 -9.77337089785178e-01   3.07202910374381e-01 	2.39045067393700e-02	 1.31574968641920e-02	-2.33757517975586e-03		1.00037493442404e+00
3.72000000000000e+00    	4.33599348152432e-03 	 -9.76415123726492e-01   3.07130854504987e-01 	2.67223398800494e-02	 4.84815839893191e-02	-2.50376203435923e-03		1.00153423119687e+00
3.75000000000000e+00    	5.18371283322754e-03 	 -9.74433863863649e-01   3.07050864259610e-01 	3.00081665281262e-02	 8.38716177351793e-02	-2.87862810921812e-03		1.00396375672615e+00
3.78000000000000e+00    	6.13141314953740e-03 	 -9.71417685963703e-01   3.06956815690355e-01 	3.35471727215755e-02	 1.18057691634500e-01	-3.45973233935110e-03		1.00750930571362e+00
3.81000000000000e+00    	7.17996397990043e-03 	 -9.67431019576664e-01   3.06843154800742e-01 	3.69765326629949e-02	 1.49791639435205e-01	-4.21643734413150e-03		1.01184118198280e+00
3.84000000000000e+00    	8.31793974609910e-03 	 -9.62574311318142e-01   3.06705686373864e-01 	3.98255042599962e-02	 1.77898511085017e-01	-5.09270708856233e-03		1.01649391867405e+00
3.87000000000000e+00    	9.51979539153619e-03 	 -9.56978337120546e-01   3.06542176185406e-01 	4.15755453182122e-02	 2.01315271596703e-01	-6.01352569616911e-03		1.02092728783095e+00
3.90000000000000e+00    	1.07459198120984e-02 	 -9.50798150337803e-01   3.06352693155069e-01 	4.17302741338659e-02	 2.19115259898343e-01	-6.89380004546222e-03		1.02459769538032e+00
3.93000000000000e+00    	1.19444789320256e-02 	 -9.44207747543426e-01   3.06139673149408e-01 	3.98854727321294e-02	 2.30521126981370e-01	-7.64849523158920e-03		1.02702937659988e+00
3.96000000000000e+00    	1.30547872706178e-02 	 -9.37396046201268e-01   3.05907723145787e-01 	3.57917241506253e-02	 2.34911842930388e-01	-8.20296008447636e-03		1.02787738082943e+00
3.99000000000000e+00    	1.40119327935612e-02 	 -9.30564188133439e-01   3.05663196401093e-01 	2.94048631102170e-02	 2.31830456547739e-01	-8.50269473384200e-03		1.02697726478019e+00
4.02000000000000e+00    	1.47524468666737e-02 	 -9.23923647076223e-01   3.05413563148518e-01 	2.09207993322202e-02	 2.20998767987105e-01	-8.52197007747270e-03		1.02437823057234e+00
4.05000000000000e+00    	1.52208486243575e-02 	 -9.17694190544102e-01   3.05166592294295e-01 	1.07909455066207e-02	 2.02343208578342e-01	-8.27060261001480e-03		1.02035661483142e+00
4.08000000000000e+00    	1.53767966126917e-02 	 -9.12100461277093e-01   3.04929365041778e-01 	-2.87091075666376e-04	 1.76033046777776e-01	-7.79782152705252e-03		1.01540559482392e+00
4.11000000000000e+00    	1.52022837103233e-02 	 -9.07365877768247e-01   3.04707176216232e-01 	-1.14103473752620e-02	 1.42527391744545e-01	-7.19170065708983e-03		1.01019600770497e+00
4.14000000000000e+00    	1.47078309346505e-02 	 -9.03702858873053e-01   3.04502448641338e-01 	-2.15488523765909e-02	 1.02621495278312e-01	-6.57241441047073e-03		1.00550421230499e+00
4.17000000000000e+00    	1.39361350604362e-02 	 -9.01299229402833e-01   3.04313874778709e-01 	-2.96620215675942e-02	 5.74768513349327e-02	-6.07810967410418e-03		1.00210796193827e+00
4.20000000000000e+00    	1.29614419982462e-02 	 -9.00302080221478e-01   3.04136062121858e-01 	-3.48425636006280e-02	 8.61656093585686e-03	-5.84386772522544e-03		1.00066098162695e+00
4.23000000000000e+00    	1.18834493800290e-02 	 -9.00801958699847e-01   3.03959927637692e-01 	-3.64632519334440e-02	 -4.21287405961238e-02	-5.97690628156245e-03		1.00156883085212e+00
