0.00000000000000e+00    	0.00000000000000e+00 	 3.53553390590000e-01  	3.53553390590000e-01    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
2.31000000000000e+00    	1.13299561515909e-04 	 3.50558324393218e-01   3.53558101068862e-01 	6.02341913864000e-04	 1.42725001409103e-02	1.25039333580679e-05		1.00010202841130e+00
2.34000000000000e+00    	1.31707722206334e-04 	 3.51054260994211e-01   3.53558487829757e-01 	6.24098245022810e-04	 1.87510611121920e-02	1.33820970300648e-05		1.00017598050070e+00
2.37000000000000e+00    	1.50647338928022e-04 	 3.51679632348270e-01   3.53558910536667e-01 	6.36642906356400e-04	 2.28746936573256e-02	1.49270344248912e-05		1.00026179430533e+00
2.40000000000000e+00    	1.69722092467593e-04 	 3.52420958018698e-01   3.53559390999176e-01 	6.31733793563592e-04	 2.64566267757874e-02	1.72478247261276e-05		1.00035011495247e+00
2.43000000000000e+00    	1.88272346224274e-04 	 3.53259257546666e-01   3.53559953062627e-01 	6.00251293483961e-04	 2.93174489044714e-02	2.03676246487307e-05		1.00042984438027e+00
2.46000000000000e+00    	2.05370513451176e-04 	 3.54170393102533e-01   3.53560619766625e-01 	5.33695207938963e-04	 3.12928028659405e-02	2.42077959758415e-05		1.00048964258897e+00
2.49000000000000e+00    	2.19865220075993e-04 	 3.55125638080279e-01   3.53561410230922e-01 	4.25915496653282e-04	 3.22409860696857e-02	2.85859733615942e-05		1.00051969665965e+00
2.52000000000000e+00    	2.30477663730414e-04 	 3.56092462616801e-01   3.53562336725231e-01 	2.74829686205275e-04	 3.20501592005983e-02	3.32304621197668e-05		1.00051351282249e+00
2.55000000000000e+00    	2.35945597026305e-04 	 3.57035519899218e-01   3.53563402416853e-01 	8.38419568293393e-05	 3.06448710455748e-02	3.78110821059206e-05		1.00046944809952e+00
2.58000000000000e+00    	2.35201848194471e-04 	 3.57917810578576e-01   3.53564600255094e-01 	-1.37319016916183e-04	 2.79916146244673e-02	4.19839653442934e-05		1.00039169884023e+00
2.61000000000000e+00    	2.27566456197216e-04 	 3.58701996014547e-01   3.53565913339785e-01 	-3.72579245716088e-04	 2.41031384875650e-02	4.54452259371115e-05		1.00029050888505e+00
