0.00000000000000e+00    	0.00000000000000e+00 	 3.09016994370000e-01  	-9.51056516300000e-01    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
2.04000000000000e+00    	-2.99201834487536e-05 	 3.09045165235521e-01   -9.51056372430862e-01 	-4.56683882041104e-04	 1.44722316845894e-03	6.15133810948223e-07		1.00000115150706e+00
2.07000000000000e+00    	-4.36337215998050e-05 	 3.09089883564610e-01   -9.51056352064798e-01 	-4.54729243027913e-04	 1.52601666175604e-03	7.44489916888267e-07		1.00000126775224e+00
2.10000000000000e+00    	-5.70284765845667e-05 	 3.09136213468332e-01   -9.51056327692666e-01 	-4.35251472065355e-04	 1.55359395305102e-03	8.80672257228862e-07		1.00000130154855e+00
2.13000000000000e+00    	-6.95656013950513e-05 	 3.09182530265329e-01   -9.51056299254646e-01 	-3.97478433396928e-04	 1.52435049897939e-03	1.01382963503857e-06		1.00000124081652e+00
2.16000000000000e+00    	-8.06928876299070e-05 	 3.09227067658734e-01   -9.51056266995807e-01 	-3.41303001484136e-04	 1.43450551438761e-03	1.13374575349168e-06		1.00000108714696e+00
2.19000000000000e+00    	-8.98656395766056e-05 	 3.09267977191096e-01   -9.51056231452518e-01 	-2.67340906885764e-04	 1.28240860957192e-03	1.23151005834249e-06		1.00000085802189e+00
2.22000000000000e+00    	-9.65689270072917e-05 	 3.09303395949609e-01   -9.51056193386871e-01 	-1.76964236731625e-04	 1.06878044925527e-03	1.30126949920954e-06		1.00000058680467e+00
2.25000000000000e+00    	-1.00340439597290e-04 	 3.09331520308866e-01   -9.51056153670774e-01 	-7.23075741086891e-05	 7.96872182637857e-04	1.34178322004401e-06		1.00000032011768e+00
2.28000000000000e+00    	-1.00793085805857e-04 	 3.09350683076353e-01   -9.51056113130022e-01 	4.37555233129930e-05	 4.72530900103612e-04	1.35748881825370e-06		1.00000011260091e+00
2.31000000000000e+00    	-9.76364219993420e-05 	 3.09359431070030e-01   -9.51056072367012e-01 	1.67667181705862e-04	 1.04161608872226e-04	1.35882262971845e-06		1.00000001948189e+00
2.34000000000000e+00    	-9.06959669922310e-05 	 3.09356599928077e-01   -9.51056031587352e-01 	2.95271538782921e-04	 -2.97419923187819e-04	1.36161920551453e-06		1.00000008782287e+00
2.37000000000000e+00    	-7.99294569405372e-05 	 3.09341382844845e-01   -9.51055990459112e-01 	4.21932192874501e-04	 -7.19244774773457e-04	1.38554031420171e-06		1.00000034767081e+00
2.40000000000000e+00    	-6.54391299471117e-05 	 3.09313389956205e-01   -9.51055948032669e-01 	5.42678999963612e-04	 -1.14655561629406e-03	1.45163677473579e-06		1.00000080454587e+00
2.43000000000000e+00    	-4.74792031891393e-05 	 3.09272695268016e-01   -9.51055902743611e-01 	6.52381080083229e-04	 -1.56327054050753e-03	1.57930564210475e-06		1.00000143470815e+00
2.46000000000000e+00    	-2.64578216668085e-05 	 3.09219868333714e-01   -9.51055852511117e-01 	7.45941419102125e-04	 -1.95253328297362e-03	1.78304497018265e-06		1.00000218440661e+00
2.49000000000000e+00    	-2.93291924511656e-06 	 3.09155988334903e-01   -9.51055794930592e-01 	8.18506925617685e-04	 -2.29733279181798e-03	2.06950238474397e-06		1.00000297384349e+00
