0.00000000000000e+00    	0.00000000000000e+00 	 5.87785252290000e-01  	8.09016994370000e-01    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
1.86000000000000e+00    	1.48157958768321e-05 	 5.87917380629230e-01   8.09016957464552e-01 	3.48277924430088e-04	 8.92614837335252e-04	-2.45319061526982e-07		1.00000045902931e+00
1.89000000000000e+00    	2.54326754214731e-05 	 5.87942786962275e-01   8.09016949262281e-01 	3.57469981283689e-04	 7.94318897891145e-04	-3.01169310375589e-07		1.00000037936362e+00
1.92000000000000e+00    	3.61343971018327e-05 	 5.87964632524866e-01   8.09016939441849e-01 	3.53716400378895e-04	 6.55357129903066e-04	-3.52275905804611e-07		1.00000027730415e+00
1.95000000000000e+00    	4.65151328987410e-05 	 5.87981717369786e-01   8.09016928226826e-01 	3.35926791832386e-04	 4.77353470415025e-04	-3.93306117331892e-07		1.00000017035664e+00
1.98000000000000e+00    	5.61433493671967e-05 	 5.87992916578200e-01   8.09016915988304e-01 	3.03490285174352e-04	 2.63694409337113e-04	-4.19919983165447e-07		1.00000008082063e+00
2.01000000000000e+00    	6.45772321703670e-05 	 5.87997233545146e-01   8.09016903200655e-01 	2.56342056223044e-04	 1.95441789403166e-05	-4.29724516420662e-07		1.00000003304670e+00
2.04000000000000e+00    	7.13818420116323e-05 	 5.87993852610044e-01   8.09016890370369e-01 	1.95011625740976e-04	 -2.48214946663939e-04	-4.23086319530730e-07		1.00000004982019e+00
2.07000000000000e+00    	7.61474052975238e-05 	 5.87982188725703e-01   8.09016877944710e-01 	1.20649728720893e-04	 -5.31120720261758e-04	-4.03637827800494e-07		1.00000014832286e+00
2.10000000000000e+00    	7.85080581373614e-05 	 5.87961931801102e-01   8.09016866211619e-01 	3.50313312290292e-05	 -8.19347700960124e-04	-3.78334685877395e-07		1.00000033627894e+00
2.13000000000000e+00    	7.81603025248100e-05 	 5.87933083393190e-01   8.09016855205846e-01 	-5.94667506715256e-05	 -1.10199970445502e-03	-3.56972640021784e-07		1.00000060896970e+00
2.16000000000000e+00    	7.48804010550828e-05 	 5.87895983566690e-01   8.09016844638006e-01 	-1.59914244656053e-04	 -1.36747138047009e-03	-3.51147958211716e-07		1.00000094777488e+00
2.19000000000000e+00    	6.85399322866964e-05 	 5.87851325989939e-01   8.09016833862338e-01 	-2.62901499986428e-04	 -1.60386888805536e-03	-3.72736949151515e-07		1.00000132075550e+00
2.22000000000000e+00    	5.91187527501510e-05 	 5.87800159686351e-01   8.09016821895276e-01 	-3.64637995352340e-04	 -1.79947632252057e-03	-4.32064562537598e-07		1.00000168553662e+00
2.25000000000000e+00    	4.67146627924464e-05 	 5.87743876307668e-01   8.09016807490576e-01 	-4.61073132239038e-04	 -1.94325155606001e-03	-5.36013562922806e-07		1.00000199440568e+00
2.28000000000000e+00    	3.15491507298805e-05 	 5.87684182324460e-01   8.09016789268278e-01 	-5.48036319416010e-04	 -2.02533264416429e-03	-6.86378256458662e-07		1.00000220115588e+00
2.31000000000000e+00    	1.39686919508560e-05 	 5.87623056124631e-01   8.09016765885451e-01 	-6.21392540823198e-04	 -2.03753407150465e-03	-8.78776468022886e-07		1.00000226883470e+00
2.34000000000000e+00    	-5.55879436271080e-06 	 5.87562690650899e-01   8.09016736227701e-01 	-6.77208815668032e-04	 -1.97381099950195e-03	-1.10239181386945e-06		1.00000217726906e+00
2.37000000000000e+00    	-2.64525791962316e-05 	 5.87505422868564e-01   8.09016699593581e-01 	-7.11926203874627e-04	 -1.83066944604789e-03	-1.34072414154830e-06		1.00000192909381e+00
2.40000000000000e+00    	-4.80329255444887e-05 	 5.87453652007943e-01   8.09016655840683e-01 	-7.22531292788106e-04	 -1.60750105774423e-03	-1.57338698455268e-06		1.00000155305559e+00
2.43000000000000e+00    	-6.95399436574008e-05 	 5.87409749142137e-01   8.09016605463482e-01 	-7.06720452235292e-04	 -1.30682286971238e-03	-1.77882353757113e-06		1.00000110362088e+00
2.46000000000000e+00    	-9.01571756785836e-05 	 5.87375961210277e-01   8.09016549579482e-01 	-6.63049617667502e-04	 -9.34405185044816e-04	-1.93764090092258e-06		1.00000065637558e+00
2.49000000000000e+00    	-1.09039362925400e-04 	 5.87354313049863e-01   8.09016489811513e-01 	-5.91062030340204e-04	 -4.99274392213109e-04	-2.03611443421901e-06		1.00000029931665e+00
2.52000000000000e+00    	-1.25343620310191e-04 	 5.87346511332055e-01   8.09016428069073e-01 	-4.91386320669165e-04	 -1.35820679716154e-05	-2.06931841521587e-06		1.00000012082463e+00
2.55000000000000e+00    	-1.38263017743425e-04 	 5.87353854477729e-01   8.09016366248447e-01 	-3.65797662384954e-04	 5.07663073033776e-04	-2.04331953318244e-06		1.00000019576693e+00
2.58000000000000e+00    	-1.47061360726970e-04 	 5.87377152651685e-01   8.09016305887395e-01 	-2.17235536900906e-04	 1.04699812870399e-03	-1.97594033416039e-06		1.00000057169997e+00
2.61000000000000e+00    	-1.51107786931960e-04 	 5.87416661776639e-01   8.09016247822798e-01 	-4.97729876278028e-05	 1.58503568101933e-03	-1.89576165820398e-06		1.00000125740874e+00
2.64000000000000e+00    	-1.49909668684194e-04 	 5.87472035174079e-01   8.09016191906132e-01 	1.31465873677389e-04	 2.10110612080896e-03	-1.83927225413896e-06		1.00000221596434e+00
2.67000000000000e+00    	-1.43142248804491e-04 	 5.87542295931202e-01   8.09016136830188e-01 	3.20440966504396e-04	 2.57399298605483e-03	-1.84636117716569e-06		1.00000336405720e+00
2.70000000000000e+00    	-1.30673452651846e-04 	 5.87625832425581e-01   8.09016080110097e-01 	5.10382036705631e-04	 2.98273669163236e-03	-1.95464342726499e-06		1.00000457859543e+00
2.73000000000000e+00    	-1.12582421638024e-04 	 5.87720418634236e-01   8.09016018243027e-01 	6.94020251626278e-04	 3.30747788251193e-03	-2.19336417288302e-06		1.00000571052313e+00
2.76000000000000e+00    	-8.91705060120492e-05 	 5.87823259940069e-01   8.09015947045771e-01 	8.63857720585829e-04	 3.53030853964838e-03	-2.57779495625902e-06		1.00000660464579e+00
2.79000000000000e+00    	-6.09637331959820e-05 	 5.87931064160716e-01   8.09015862141055e-01 	1.01246434539510e-03	 3.63609706308859e-03	-3.10507798256336e-06		1.00000712312240e+00
2.82000000000000e+00    	-2.87061205729134e-05 	 5.88040136500507e-01   8.09015759535893e-01 	1.13278919795438e-03	 3.61325294802565e-03	-3.75236912628669e-06		1.00000716938546e+00
2.85000000000000e+00    	6.65639060035459e-06 	 5.88146496104824e-01   8.09015636213306e-01 	1.21847215231596e-03	 3.45439739720484e-03	-4.47787505801559e-06		1.00000670875540e+00
2.88000000000000e+00    	4.40011652967753e-05 	 5.88246010917166e-01   8.09015490646310e-01 	1.26414093169011e-03	 3.15690826550996e-03	-5.22499726599113e-06		1.00000578205798e+00
2.91000000000000e+00    	8.20626136552109e-05 	 5.88334546640543e-01   8.09015323143526e-01 	1.26567914623205e-03	 2.72331105381843e-03	-5.92933118246575e-06		1.00000450919081e+00
2.94000000000000e+00    	1.19473370156320e-04 	 5.88408124822200e-01   8.09015135950618e-01 	1.22045227389849e-03	 2.16149216828137e-03	-6.52778607116333e-06		1.00000308079263e+00
2.97000000000000e+00    	1.54811484792059e-04 	 5.88463084447026e-01   8.09014933060388e-01 	1.12748074971860e-03	 1.48471621966842e-03	-6.96866519206129e-06		1.00000173782032e+00
3.00000000000000e+00    	1.86651913887894e-04 	 5.88496240969954e-01   8.09014719724029e-01 	9.87552162204813e-04	 7.11435614239045e-04	-7.22125035195684e-06		1.00000074072575e+00
3.03000000000000e+00    	2.13620404168761e-04 	 5.88505036467079e-01   8.09014501701790e-01 	8.03267726406729e-04	 -1.35112080109255e-04	-7.28333280359429e-06		1.00000033177363e+00
3.06000000000000e+00    	2.34447765323186e-04 	 5.88487674560611e-01   8.09014284336677e-01 	5.79021397931012e-04	 -1.02751570801687e-03	-7.18526310135639e-06		1.00000069555273e+00
3.09000000000000e+00    	2.48022520331969e-04 	 5.88443233989627e-01   8.09014071572712e-01 	3.20912910176629e-04	 -1.93499960335744e-03	-6.98946353451395e-06		1.00000192362686e+00
3.12000000000000e+00    	2.53439997615209e-04 	 5.88371755165507e-01   8.09013865062666e-01 	3.65984131832807e-05	 -2.82441047246386e-03	-6.78492872138816e-06		1.00000398933204e+00
3.15000000000000e+00    	2.50046066927982e-04 	 5.88274294767500e-01   8.09013663513785e-01 	-2.64915884185334e-04	 -3.66135430656527e-03	-6.67696658205314e-06		1.00000673784748e+00
3.18000000000000e+00    	2.37473901145053e-04 	 5.88152944389586e-01   8.09013462400829e-01 	-5.73530648240114e-04	 -4.41144795387929e-03	-6.77320604015211e-06		1.00000989487921e+00
3.21000000000000e+00    	2.15672348416599e-04 	 5.88010810423301e-01   8.09013254134002e-01 	-8.78354100520145e-04	 -5.04164321339677e-03	-7.16760297943687e-06		1.00001309477606e+00
3.24000000000000e+00    	1.84924707675355e-04 	 5.87851953719725e-01   8.09013028709057e-01 	-1.16803960343032e-03	 -5.52157571215592e-03	-7.92469261118054e-06		1.00001592596201e+00
