4.80000000000000e-01    	-1.91017386142455e-08 	 3.00000103261492e+00   0.00000000000000e+00 	-3.55062322159150e-07	 7.96950017178387e-06	0.00000000000000e+00		1.00000000003182e+00
4.90000000000000e-01    	-2.28747262797818e-08 	 3.00000111292053e+00   0.00000000000000e+00 	-4.00041159744241e-07	 8.08042993128244e-06	0.00000000000000e+00		1.00000000003273e+00
5.00000000000000e-01    	-2.71126131100341e-08 	 3.00000119398408e+00   0.00000000000000e+00 	-4.48034365477373e-07	 8.11951870382782e-06	0.00000000000000e+00		1.00000000003306e+00
5.10000000000000e-01    	-3.18452569571041e-08 	 3.00000127503954e+00   0.00000000000000e+00 	-4.98979490233459e-07	 8.07719110762473e-06	0.00000000000000e+00		1.00000000003274e+00
5.20000000000000e-01    	-3.71017292929601e-08 	 3.00000135522377e+00   0.00000000000000e+00 	-5.52781372616482e-07	 7.94361694637314e-06	0.00000000000000e+00		1.00000000003170e+00
5.30000000000000e-01    	-4.29099782963836e-08 	 3.00000143357434e+00   0.00000000000000e+00 	-6.09310206153615e-07	 7.70877613306290e-06	0.00000000000000e+00		1.00000000002990e+00
5.40000000000000e-01    	-4.92964734104058e-08 	 3.00000150902795e+00   0.00000000000000e+00 	-6.68399770259049e-07	 7.36252976018128e-06	0.00000000000000e+00		1.00000000002733e+00
5.50000000000000e-01    	-5.62858331293385e-08 	 3.00000158041964e+00   0.00000000000000e+00 	-7.29845849203611e-07	 6.89469706779659e-06	0.00000000000000e+00		1.00000000002403e+00
5.60000000000000e-01    	-6.39004380151709e-08 	 3.00000164648279e+00   0.00000000000000e+00 	-7.93404862954132e-07	 6.29513800164349e-06	0.00000000000000e+00		1.00000000002013e+00
5.70000000000000e-01    	-7.21600311790602e-08 	 3.00000170584992e+00   0.00000000000000e+00 	-8.58792733177581e-07	 5.55384099421798e-06	0.00000000000000e+00		1.00000000001579e+00
5.80000000000000e-01    	-8.10813086929207e-08 	 3.00000175705448e+00   0.00000000000000e+00 	-9.25684006936564e-07	 4.66101554344201e-06	0.00000000000000e+00		1.00000000001129e+00
5.90000000000000e-01    	-9.06775026167033e-08 	 3.00000179853351e+00   0.00000000000000e+00 	-9.93711259633301e-07	 3.60718910613409e-06	0.00000000000000e+00		1.00000000000700e+00
6.00000000000000e-01    	-1.00957959536840e-07 	 3.00000182863135e+00   0.00000000000000e+00 	-1.06246479758832e-06	 2.38330776778109e-06	0.00000000000000e+00		1.00000000000340e+00
6.10000000000000e-01    	-1.11927717708499e-07 	 3.00000184560431e+00   0.00000000000000e+00 	-1.13149267926863e-06	 9.80840096405592e-07	0.00000000000000e+00		1.00000000000112e+00
6.20000000000000e-01    	-1.23587086076768e-07 	 3.00000184762644e+00   0.00000000000000e+00 	-1.20030107261036e-06	 -6.08116462883204e-07	0.00000000000000e+00		1.00000000000091e+00
6.30000000000000e-01    	-1.35931228617640e-07 	 3.00000183279637e+00   0.00000000000000e+00 	-1.26835496411568e-06	 -2.39072734433053e-06	0.00000000000000e+00		1.00000000000366e+00
6.40000000000000e-01    	-1.48949757586913e-07 	 3.00000179914521e+00   0.00000000000000e+00 	-1.33507923344935e-06	 -4.37331150552779e-06	0.00000000000000e+00		1.00000000001045e+00
6.50000000000000e-01    	-1.62626339391745e-07 	 3.00000174464557e+00   0.00000000000000e+00 	-1.39986010512062e-06	 -6.56123173659059e-06	0.00000000000000e+00		1.00000000002250e+00
6.60000000000000e-01    	-1.76938316904104e-07 	 3.00000166722167e+00   0.00000000000000e+00 	-1.46204698652188e-06	 -8.95878544902010e-06	0.00000000000000e+00		1.00000000004120e+00
6.70000000000000e-01    	-1.91856352115756e-07 	 3.00000156476053e+00   0.00000000000000e+00 	-1.52095469911326e-06	 -1.15690967910008e-05	0.00000000000000e+00		1.00000000006808e+00
6.80000000000000e-01    	-2.07344093089259e-07 	 3.00000143512424e+00   0.00000000000000e+00 	-1.57586610690461e-06	 -1.43940109631692e-05	0.00000000000000e+00		1.00000000010484e+00
6.90000000000000e-01    	-2.23357869187170e-07 	 3.00000127616326e+00   0.00000000000000e+00 	-1.62603514360542e-06	 -1.74339916308528e-05	0.00000000000000e+00		1.00000000015329e+00
7.00000000000000e-01    	-2.39846418560919e-07 	 3.00000108573073e+00   0.00000000000000e+00 	-1.67069023690242e-06	 -2.06880223451108e-05	0.00000000000000e+00		1.00000000021539e+00
7.10000000000000e-01    	-2.56750651850374e-07 	 3.00000086169776e+00   0.00000000000000e+00 	-1.70903812530099e-06	 -2.41535128953210e-05	0.00000000000000e+00		1.00000000029316e+00
7.20000000000000e-01    	-2.74003455983941e-07 	 3.00000060196958e+00   0.00000000000000e+00 	-1.74026805984632e-06	 -2.78262115203025e-05	0.00000000000000e+00		1.00000000038866e+00
7.30000000000000e-01    	-2.91529541876290e-07 	 3.00000030450261e+00   0.00000000000000e+00 	-1.76355637984378e-06	 -3.17001239028219e-05	0.00000000000000e+00		1.00000000050400e+00
7.40000000000000e-01    	-3.09245339695765e-07 	 2.99999996732222e+00   0.00000000000000e+00 	-1.77807144844455e-06	 -3.57674398636208e-05	0.00000000000000e+00		1.00000000064124e+00
7.50000000000000e-01    	-3.27058945215767e-07 	 2.99999958854123e+00   0.00000000000000e+00 	-1.78297893067615e-06	 -4.00184686556910e-05	0.00000000000000e+00		1.00000000080233e+00
7.60000000000000e-01    	-3.44870120573714e-07 	 2.99999916637901e+00   0.00000000000000e+00 	-1.77744739319996e-06	 -4.44415837373045e-05	0.00000000000000e+00		1.00000000098911e+00
