9.36000000000000e+00    	-9.35999882999922e+00 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 4.95489426480514e-14	-4.82511538889892e-29		2.00000024999998e+03
9.48000000000000e+00    	-9.47999881499921e+00 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 -2.94808787456626e-13	-5.09455111148612e-29		2.00000024999998e+03
9.60000000000000e+00    	-9.59999879999919e+00 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 -9.07167566313585e-14	-5.60835046117174e-29		2.00000024999998e+03
9.72000000000000e+00    	-9.71999878499918e+00 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 2.99872442558763e-13	-5.85113402546836e-29		2.00000024999998e+03
9.84000000000000e+00    	-9.83999876999916e+00 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 1.34693880384363e-13	-6.48155422901881e-29		2.00000024999998e+03
9.96000000000000e+00    	-9.95999875499915e+00 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 -2.98907956111359e-13	-6.69837421199441e-29		2.00000024999998e+03
1.00800000000000e+01    	-1.00799987399991e+01 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 -1.80687573728434e-13	-7.44841432080618e-29		2.00000024999998e+03
1.02000000000000e+01    	-1.01999987249991e+01 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 2.91354233436665e-13	-7.64616080217679e-29		2.00000024999998e+03
1.03200000000000e+01    	-1.03199987099991e+01 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 2.27787404662301e-13	-8.51222919319802e-29		2.00000024999998e+03
1.04400000000000e+01    	-1.04399986949991e+01 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 -2.76773946672764e-13	-8.70489923717115e-29		2.00000024999998e+03
1.05600000000000e+01    	-1.05599986799991e+01 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 -2.74982962735811e-13	-9.67612574036519e-29		2.00000024999998e+03
1.06800000000000e+01    	-1.06799986649991e+01 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 2.54872141213694e-13	-9.88520216575817e-29		2.00000024999998e+03
1.08000000000000e+01    	-1.07999986499990e+01 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 3.21182722768628e-13	-1.09433406587726e-28		2.00000024999998e+03
1.09200000000000e+01    	-1.09199986349990e+01 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 -2.25514523731555e-13	-1.11975161923242e-28		2.00000024999998e+03
1.10400000000000e+01    	-1.10399986199990e+01 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 -3.65238694486231e-13	-1.23175519333950e-28		2.00000024999998e+03
1.11600000000000e+01    	-1.11599986049990e+01 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 1.88739795670427e-13	-1.26517167007901e-28		2.00000024999998e+03
1.12800000000000e+01    	-1.12799985899990e+01 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 4.05971308926671e-13	-1.38032236115925e-28		2.00000024999998e+03
1.14000000000000e+01    	-1.13999985749990e+01 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 -1.44770551564080e-13	-1.42566964256965e-28		2.00000024999998e+03
1.15200000000000e+01    	-1.15199985599990e+01 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 -4.42198976832448e-13	-1.54059352529619e-28		2.00000024999998e+03
1.16400000000000e+01    	-1.16399985449989e+01 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 9.40172763726985e-14	-1.60199941687458e-28		2.00000024999998e+03
1.17600000000000e+01    	-1.17599985299989e+01 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 4.72766595979818e-13	-1.71326517727292e-28		2.00000024999998e+03
