file	phi	r	period	raio_max	px_mean	x_final	eta
2412	02.73549326259474e+00	2.00000000000000e+00	1.48794799999972e+02	1.40222619627108e+00	-1.04584472564204e+00	-4.64145303000000e+02	2.03828493150686e+01
2413	0.07682311075262e-01	2.00000000000000e+00	1.43395599999973e+02	1.39527007256967e+00	-1.02927844084677e+00	-4.55484681000000e+02	1.99160555555557e+01
2414	0.94036362632699e-01	2.00000000000000e+00	1.38963599999974e+02	1.38852870460155e+00	-1.01105063683580e+00	-4.46720907000000e+02	1.96276271186442e+01
2415	0.02179785653057e-01	2.00000000000000e+00	1.34053599999975e+02	1.38221918913646e+00	-9.93752518903181e-01	-4.38072721000000e+02	1.92053868194844e+01
2416	0.18682067735066e+00	2.00000000000000e+00	1.30029999999975e+02	1.37467233363412e+00	-9.75173189078152e-01	-4.29379179000000e+02	1.88997093023257e+01
2417	02.22636691521792e+00	2.00000000000000e+00	1.25526399999975e+02	1.36875995231969e+00	-9.57159878290286e-01	-4.20710955000000e+02	1.84597647058823e+01
2418	02.10132635976352e+00	2.00000000000000e+00	1.22168399999976e+02	1.36270992146895e+00	-9.37928367128122e-01	-4.11982834000000e+02	1.82340895522387e+01
2419	01.65512288047800e+00	2.00000000000000e+00	1.17953199999977e+02	1.35571781008407e+00	-9.19484963825160e-01	-4.03397243000000e+02	1.78177039274924e+01
2420	0.19980611873402e+00	2.00000000000000e+00	1.14952799999977e+02	1.35098917086959e+00	-8.99677706986858e-01	-3.94705891000000e+02	1.76307975460122e+01
2421	0.63198334499975e+00	2.00000000000000e+00	1.11302399999978e+02	1.34199689078221e+00	-8.80850767598715e-01	-3.86246524000000e+02	1.72829813664596e+01
2422	0.83680535006130e+00	2.00000000000000e+00	1.08294799999978e+02	1.33879183304389e+00	-8.60505783763331e-01	-3.77645132000000e+02	1.70274842767295e+01
2423	02.53876846583435e+00	2.00000000000000e+00	1.05189199999979e+02	1.33398115941138e+00	-8.40867293174426e-01	-3.69091366000000e+02	1.66966984126984e+01
2424	01.28798472932218e+00	2.00000000000000e+00	1.02614799999980e+02	1.32803265580074e+00	-8.19794492612884e-01	-3.60487077000000e+02	1.64975562700964e+01
2425	08.90872400989623e-01	2.00000000000000e+00	9.96859999999801e+01	1.32467827742047e+00	-7.99909529108714e-01	-3.51995517000000e+02	1.61827922077921e+01
2426	06.75944617301193e-01	2.00000000000000e+00	9.72687999999806e+01	1.30650304515402e+00	-7.77836376145334e-01	-3.43370566000000e+02	1.59981578947368e+01
2427	0.86460985097863e+00	2.00000000000000e+00	9.47279999999811e+01	1.31339600525180e+00	-7.57102700907681e-01	-3.34803572000000e+02	1.57355481727574e+01
2428	0.46400632096014e+00	2.00000000000000e+00	9.22447999999816e+01	1.30516657174617e+00	-7.34613623679782e-01	-3.26217843000000e+02	1.54773154362416e+01
2429	0.72782236064001e+00	2.00000000000000e+00	9.00751999999820e+01	1.30389706631349e+00	-7.13842028204426e-01	-3.17886333000000e+02	1.52669830508474e+01
2430	0.83588369489051e+00	2.00000000000000e+00	8.78139999999825e+01	1.30096865643385e+00	-6.92365867486513e-01	-3.09864892000000e+02	1.50366438356164e+01
2431	03.57077530195951e-01	2.00000000000000e+00	8.58763999999829e+01	1.29645525246975e+00	-6.67732925424388e-01	-3.00534867000000e+02	1.48575086505190e+01
2432	01.01991729185470e-01	2.00000000000000e+00	8.36459999999833e+01	1.29303139325550e+00	-6.44990308637201e-01	-2.92151889000000e+02	1.46234265734265e+01
2433	0.71198822250487e-02	2.00000000000000e+00	8.18115999999837e+01	1.28830824906122e+00	-6.21811755500800e-01	-2.83743770000000e+02	1.44543462897526e+01
2434	0.47325023855135e-01	2.00000000000000e+00	7.98263999999841e+01	1.28432510662201e+00	-5.98688900715817e-01	-2.75351847000000e+02	1.42039857651245e+01
2435	02.93727521175523e+00	2.00000000000000e+00	7.80367999999844e+01	1.27125254741108e+00	-5.73421466011605e-01	-2.66678287000000e+02	1.40353956834532e+01
2436	02.69750573570455e+00	2.00000000000000e+00	7.63047999999848e+01	1.27591568615658e+00	-5.49778543005884e-01	-2.58279326000000e+02	1.38233333333333e+01
2437	02.62894158771035e+00	2.00000000000000e+00	7.46127999999851e+01	1.27332737753117e+00	-5.24079916984235e-01	-2.49773201000000e+02	1.36154744525547e+01
2438	02.39326214414019e+00	2.00000000000000e+00	7.30351999999854e+01	1.27083657937525e+00	-4.99590171426718e-01	-2.41494105000000e+02	1.34751291512915e+01
2439	01.66606894019088e+00	2.00000000000000e+00	7.13287999999857e+01	1.26775134760321e+00	-4.73557704182740e-01	-2.32987798000000e+02	1.32581412639405e+01
2440	0.36564739089536e-01	2.00000000000000e+00	6.99399999999860e+01	1.26283897461928e+00	-4.46779006901722e-01	-2.24499893000000e+02	1.30973782771535e+01
2441	0.01903281951326e-01	2.00000000000000e+00	6.83943999999864e+01	1.26218262999211e+00	-4.20413667086322e-01	-2.16036321000000e+02	1.29046037735849e+01
2442	0.30156931918039e+00	2.00000000000000e+00	6.70207999999867e+01	1.26068117976743e+00	-3.91935135509889e-01	-2.07558971000000e+02	1.27415969581749e+01
2443	0.82579238213215e+00	2.00000000000000e+00	6.56831999999869e+01	1.25528627563822e+00	-3.65509552008263e-01	-1.99252836000000e+02	1.25829885057471e+01
2444	0.43777484626781e+00	2.00000000000000e+00	6.42883999999871e+01	1.25411506813810e+00	-3.37221755123727e-01	-1.90972192000000e+02	1.24108880308880e+01
2445	02.43761223226376e+00	2.00000000000000e+00	6.31967999999874e+01	1.24871777964725e+00	-3.07420681426312e-01	-1.82381088000000e+02	1.22474418604651e+01
2446	01.35723063694770e+00	2.00000000000000e+00	6.19159999999876e+01	1.25034056342233e+00	-2.77933045589782e-01	-1.73734546000000e+02	1.20929687499999e+01
