y	z	phi	r	period	thetamin	thetamax
2.95442325981240e-01	5.20944533000000e-02	1.74532925154269e-01	3.00000000076385e-01	9.93950000000036e+02	-1.69498590100103e-01	1.71426239130883e-01
3.93923101308017e-01	6.94592710670000e-02	1.74532925155221e-01	4.00000000101607e-01	1.06645000000000e+03	-1.71945324123933e-01	1.75163425391716e-01
4.92403876644536e-01	8.68240888330000e-02	1.74532925150440e-01	5.00000000136248e-01	1.14321999999990e+03	-1.75451749191174e-01	1.75946018561673e-01
5.90884651970735e-01	1.04188906600000e-01	1.74532925151880e-01	6.00000000160900e-01	1.20951999999984e+03	-1.79837699461230e-01	1.82519393190263e-01
6.89365427296551e-01	1.21553724370000e-01	1.74532925157225e-01	7.00000000185696e-01	1.36541999999969e+03	-1.92397866090096e-01	1.94084054316069e-01
7.87846202621926e-01	1.38918542130000e-01	1.74532925149019e-01	8.00000000208321e-01	1.51862499999975e+03	-2.21805332643402e-01	2.22813718964602e-01
8.86326977946801e-01	1.56283359900000e-01	1.74532925153675e-01	9.00000000232190e-01	2.14281111111068e+03	-2.69269396997685e-01	2.78603828503057e-01
9.84807753271120e-01	1.73648177670000e-01	1.74532925157496e-01	1.00000000025551e+00	2.26813333333279e+03	-2.97037585396915e-01	3.44632714098800e-01
1.08328852858483e+00	1.91012995430000e-01	1.74532925153345e-01	1.10000000026665e+00	2.05473333333298e+03	-5.22446858291982e-01	5.79309685321958e-01
1.18176930390788e+00	2.08377813200000e-01	1.74532925156741e-01	1.20000000028872e+00	1.83844999999946e+03	1.33251614114048e-01	3.00842839498576e+00
1.28025007923022e+00	2.25742630970000e-01	1.74532925159709e-01	1.30000000031009e+00	1.63214999999965e+03	1.33938661193147e-01	3.00689224857793e+00
1.37873085455180e+00	2.43107448730000e-01	1.74532925155313e-01	1.40000000032898e+00	1.58397499999970e+03	1.32854026329495e-01	3.01236099578962e+00
1.47721162987258e+00	2.60472266500000e-01	1.74532925158161e-01	1.50000000034882e+00	1.56227499999972e+03	1.30775339190370e-01	3.01530062891548e+00
1.57569240519252e+00	2.77837084270000e-01	1.74532925160745e-01	1.60000000036783e+00	1.52353333333308e+03	1.26072113188558e-01	3.01883492065077e+00
1.67417318051158e+00	2.95201902030000e-01	1.74532925157321e-01	1.70000000038423e+00	1.48803333333312e+03	1.22693473089289e-01	3.02494436636423e+00
1.77265395582973e+00	3.12566719800000e-01	1.74532925159837e-01	1.80000000040148e+00	1.46581666666647e+03	1.11954938200654e-01	3.03146237778895e+00
1.87113473114695e+00	3.29931537570000e-01	1.74532925162172e-01	1.90000000041781e+00	1.45819166666648e+03	1.04856264800441e-01	3.03739173725686e+00
1.96961550646319e+00	3.47296355330000e-01	1.74532925159436e-01	2.00000000043144e+00	1.46729166666647e+03	9.51706224496858e-02	3.04764820016934e+00
2.06809628177843e+00	3.64661173100000e-01	1.74532925161732e-01	2.10000000044582e+00	1.49719999999977e+03	8.61224786081820e-02	3.05775401764099e+00
2.16657705709267e+00	3.82025990870000e-01	1.74532925163898e-01	2.20000000045921e+00	1.55719999999972e+03	7.28325896857234e-02	3.07292113417368e+00
2.26505783240587e+00	3.99390808630000e-01	1.74532925161673e-01	2.30000000046985e+00	1.62749999999966e+03	4.69063949278291e-02	3.09648307907560e+00
