0.00000000000000e+00    	0.00000000000000e+00 	 -1.00000000000000e+01  	1.22464679910000e-15    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
2.25000000000000e+00    	-1.65061736449687e-05 	 -1.00011713644562e+01   1.22464688400966e-15 	-2.88757208944483e-04	 1.63195855720882e-03	2.56948552322059e-22		1.00000137333379e+00
2.28000000000000e+00    	-2.50664014397193e-05 	 -1.00010997069585e+01   1.22464689173389e-15 	-2.79705507852844e-04	 3.15051759294998e-03	2.58704162698185e-22		1.00000500198563e+00
2.31000000000000e+00    	-3.31529754385600e-05 	 -1.00009822975951e+01   1.22464689959568e-15 	-2.57135075852627e-04	 4.67262507262882e-03	2.66846131397057e-22		1.00001094971181e+00
2.34000000000000e+00    	-4.03599203489698e-05 	 -1.00008199054460e+01   1.22464690785097e-15 	-2.21149669989688e-04	 6.13939012465120e-03	2.85617264986234e-22		1.00001887033109e+00
2.37000000000000e+00    	-4.62962793394159e-05 	 -1.00006151073696e+01   1.22464691687521e-15 	-1.72646699609810e-04	 7.48955950664934e-03	3.18628116925201e-22		1.00002806126053e+00
2.40000000000000e+00    	-5.06096445009513e-05 	 -1.00003723245394e+01   1.22464692713434e-15 	-1.13285876905010e-04	 8.66182462392780e-03	3.68199703003929e-22		1.00003751931590e+00
2.43000000000000e+00    	-5.30076082950383e-05 	 -1.00000977870131e+01   1.22464693913750e-15 	-4.53829012027530e-05	 9.59729556593374e-03	4.34812537686302e-22		1.00004605401041e+00
2.46000000000000e+00    	-5.32749833584108e-05 	 -9.99979942277455e+00   1.22464695337607e-15 	2.82636928706977e-05	 1.02420497910631e-02	5.16768422835165e-22		1.00005244881594e+00
2.49000000000000e+00    	-5.12850377104297e-05 	 -9.99948667059825e+00   1.22464697025691e-15 	1.04594324970723e-04	 1.05496544368298e-02	6.10152401699953e-22		1.00005565152581e+00
2.52000000000000e+00    	-4.70036722550750e-05 	 -9.99917021917058e+00   1.22464699003971e-15 	1.80532208608998e-04	 1.04835564491802e-02	7.09146049742943e-22		1.00005496726315e+00
2.55000000000000e+00    	-4.04863525907316e-05 	 -9.99886167803224e+00   1.22464701278901e-15 	2.53217485910498e-04	 1.00192340472653e-02	8.06693432086641e-22		1.00005022332380e+00
2.58000000000000e+00    	-3.18685812568128e-05 	 -9.99857318898516e+00   1.22464703835087e-15 	3.20199170853506e-04	 9.14600654258539e-03	8.95463966587398e-22		1.00004187510483e+00
2.61000000000000e+00    	-2.13516157860548e-05 	 -9.99831698952741e+00   1.22464706636161e-15 	3.79556761329100e-04	 7.86840718314107e-03	9.69000457102977e-22		1.00003102746612e+00
2.64000000000000e+00    	-9.18585055459729e-06 	 -9.99810494254584e+00   1.22464709629167e-15 	4.29932705368406e-04	 6.20703540735744e-03	1.02289496904322e-21		1.00001935587801e+00
2.67000000000000e+00    	4.34534987231249e-06 	 -9.99794804880743e+00   1.22464712752305e-15 	4.70470285037243e-04	 4.19882054493792e-03	1.05580879744887e-21		1.00000892567829e+00
2.70000000000000e+00    	1.89386484079599e-05 	 -9.99785596063205e+00   1.22464715945256e-15 	5.00667205044778e-04	 1.89664840269318e-03	1.07015237420265e-21		1.00000192396956e+00
2.73000000000000e+00    	3.42783935189409e-05 	 -9.99783651637596e+00   1.22464719160855e-15 	5.20170923524895e-04	 -6.31675005215375e-04	1.07227013513761e-21		1.00000033479549e+00
2.76000000000000e+00    	5.00377529326080e-05 	 -9.99789531587495e+00   1.22464722376427e-15 	5.28554907911455e-04	 -3.30512264302725e-03	1.07203337907015e-21		1.00000560158730e+00
2.79000000000000e+00    	6.58734466345513e-05 	 -9.99803535666936e+00   1.22464725603006e-15 	5.25122990296430e-04	 -6.03178095312819e-03	1.08182548997562e-21		1.00001832889984e+00
2.82000000000000e+00    	8.14156474866888e-05 	 -9.99825674957945e+00   1.22464728890664e-15 	5.08789811818687e-04	 -8.71176363893989e-03	1.11499852728887e-21		1.00003807612149e+00
2.85000000000000e+00    	9.62559644456925e-05 	 -9.99855652999845e+00   1.22464732328634e-15 	4.78077908630626e-04	 -1.12406209969100e-02	1.18397459763022e-21		1.00006328805675e+00
2.88000000000000e+00    	1.09937423623727e-04 	 -9.99892857818498e+00   1.22464736039504e-15 	4.31256485552835e-04	 -1.35131356980741e-02	1.29824437489512e-21		1.00009139123310e+00
2.91000000000000e+00    	1.21950794724970e-04 	 -9.99936365800798e+00   1.22464740167631e-15 	3.66624916850676e-04	 -1.54273744023108e-02	1.46256400143026e-21		1.00011906205950e+00
2.94000000000000e+00    	1.31741320960164e-04 	 -9.99984957923205e+00   1.22464744862832e-15 	2.82918357615802e-04	 -1.68888480991231e-02	1.67565882352154e-21		1.00014264644245e+00
2.97000000000000e+00    	1.38728846995796e-04 	 -1.00003714837662e+01   1.22464750261303e-15 	1.79787336016040e-04	 -1.78146232927740e-02	1.92970173347725e-21		1.00015868397297e+00
3.00000000000000e+00    	1.42342570180863e-04 	 -1.00009122515568e+01   1.22464756466376e-15 	5.82820285442606e-05	 -1.81372212390038e-02	2.21074591846628e-21		1.00016446757074e+00
3.03000000000000e+00    	1.42069355584922e-04 	 -1.00014530171588e+01   1.22464763532077e-15 	-7.87409261001213e-05	 -1.78081431273692e-02	2.50016464372869e-21		1.00015855551096e+00
3.06000000000000e+00    	1.37512050295774e-04 	 -1.00019737835791e+01   1.22464771452418e-15 	-2.26372634030837e-04	 -1.68008649387062e-02	2.77699943479783e-21		1.00014115019194e+00
3.09000000000000e+00    	1.28451872903299e-04 	 -1.00024541157873e+01   1.22464780158762e-15 	-3.77639027757361e-04	 -1.51131563530808e-02	3.02096329640224e-21		1.00011426852445e+00
3.12000000000000e+00    	1.14907130899276e-04 	 -1.00028738923721e+01   1.22464789526711e-15 	-5.23767973994000e-04	 -1.27685935503867e-02	3.21571115343075e-21		1.00008165232352e+00
3.15000000000000e+00    	9.71795934565048e-05 	 -1.00032140902110e+01   1.22464799392595e-15 	-6.54747988683506e-04	 -9.81715647468629e-03	3.35189926036134e-21		1.00004840145674e+00
3.18000000000000e+00    	7.58800949882823e-05 	 -1.00034575738634e+01   1.22464809578210e-15 	-7.60147775855870e-04	 -6.33482785580530e-03	3.42952905607581e-21		1.00002035372716e+00
3.21000000000000e+00    	5.19265002613982e-05 	 -1.00035898589162e+01   1.22464819920933e-15 	-8.30122340642590e-04	 -2.42214465736462e-03	3.45912169626595e-21		1.00000327793855e+00
3.24000000000000e+00    	2.65099733852764e-05 	 -1.00035998170377e+01   1.22464830305221e-15 	-8.56493536659033e-04	 1.79830726254267e-03	3.46139948302730e-21		1.00000198374313e+00
3.27000000000000e+00    	1.02930015262073e-06 	 -1.00034802904203e+01   1.22464840690730e-15 	-8.33767338705341e-04	 6.18541860218279e-03	3.46534892558225e-21		1.00001947709595e+00
3.30000000000000e+00    	-2.30026459535481e-05 	 -1.00032285849285e+01   1.22464851132314e-15 	-7.59942565035593e-04	 1.05840161494675e-02	3.50478322162997e-21		1.00005629787055e+00
3.33000000000000e+00    	-4.40719446826885e-05 	 -1.00028468148048e+01   1.22464861787893e-15 	-6.36979662052549e-04	 1.48301211246617e-02	3.61377446807846e-21		1.00011016304988e+00
3.36000000000000e+00    	-6.07843315927467e-05 	 -1.00023420771445e+01   1.22464872911609e-15 	-4.70833782294080e-04	 1.87568262619859e-02	3.82154663084253e-21		1.00017600461912e+00
3.39000000000000e+00    	-7.19796165961318e-05 	 -1.00017264411860e+01   1.22464884831776e-15 	-2.71010366603708e-04	 2.22005754689457e-02	4.14756879705750e-21		1.00024643913276e+00
3.42000000000000e+00    	-7.68256308533425e-05 	 -1.00010167452052e+01   1.22464897915405e-15 	-4.96669906975365e-05	 2.50076057419889e-02	4.59763264377395e-21		1.00031264253320e+00
3.45000000000000e+00    	-7.48793278698059e-05 	 -1.00002342017601e+01   1.22464912523381e-15 	1.79646942621098e-04	 2.70403002015343e-02	5.16162174004332e-21		1.00036553824490e+00
3.48000000000000e+00    	-6.61064145394466e-05 	 -9.99940381957072e+00   1.22464928962181e-15 	4.03461342173484e-04	 2.81832029406753e-02	5.81348569693000e-21		1.00039714899086e+00
3.51000000000000e+00    	-5.08561469318632e-05 	 -9.99855365699955e+00   1.22464947439154e-15 	6.09874151852786e-04	 2.83484583641890e-02	6.51364105049808e-21		1.00040192274811e+00
3.54000000000000e+00    	-2.97940181768371e-05 	 -9.99771392779835e+00   1.22464968028484e-15 	7.89847915872885e-04	 2.74804564101924e-02	7.21367093720774e-21		1.00037782829501e+00
3.57000000000000e+00    	-3.80116188081464e-06 	 -9.99691598465527e+00   1.22464990654057e-15 	9.38117714934116e-04	 2.55594873409327e-02	7.86283536235138e-21		1.00032703025460e+00
3.60000000000000e+00    	2.61454827717250e-05 	 -9.99619121048395e+00   1.22465015093497e-15 	1.05355747671862e-03	 2.26042338883545e-02	8.41558523726678e-21		1.00025599791905e+00
3.63000000000000e+00    	5.90946666091222e-05 	 -9.99556985170340e+00   1.22465041004907e-15 	1.13892165412939e-03	 1.86729547248902e-02	8.83904574487301e-21		1.00017497288259e+00
3.66000000000000e+00    	9.42252279181092e-05 	 -9.99507983213840e+00   1.22465067974601e-15 	1.19996809888860e-03	 1.38632437901604e-02	9.11933876457993e-21		1.00009681003982e+00
3.69000000000000e+00    	1.30916206073159e-04 	 -9.99474559043800e+00   1.22465095580762e-15 	1.24406444702930e-03	 8.31028840287544e-03	9.26567683054057e-21		1.00003530367167e+00
3.72000000000000e+00    	1.68769870989991e-04 	 -9.99458698745579e+00   1.22465123465080e-15 	1.27847068077932e-03	 2.18359850062071e-03	9.31139017646710e-21		1.00000320128972e+00
3.75000000000000e+00    	2.07581703059565e-04 	 -9.99461833192708e+00   1.22465151402352e-15 	1.30855987043557e-03	 -4.31775901286257e-03	9.31142837733115e-21		1.00001017763412e+00
3.78000000000000e+00    	2.47259832440213e-04 	 -9.99484757199153e+00   1.22465179357340e-15 	1.33627372227061e-03	 -1.09713150728176e-02	9.33636817376328e-21		1.00006107582582e+00
3.81000000000000e+00    	2.87705354327978e-04 	 -9.99527569586158e+00   1.22465207519042e-15 	1.35909963508739e-03	 -1.75385606287979e-02	9.46349509028040e-21		1.00015471216245e+00
3.84000000000000e+00    	3.28672832975584e-04 	 -9.99589637701427e+00   1.22465236305036e-15 	1.36979816810012e-03	 -2.37732628335382e-02	9.76602814631772e-21		1.00028348200536e+00
3.87000000000000e+00    	3.69635755218802e-04 	 -9.99669588822453e+00   1.22465266332437e-15 	1.35700900268887e-03	 -2.94304243903624e-02	1.03019404694418e-20		1.00043390154134e+00
3.90000000000000e+00    	4.09683554446551e-04 	 -9.99765329582807e+00   1.22465298356772e-15 	1.30673268897960e-03	 -3.42755395340425e-02	1.11040220989437e-20		1.00058808715708e+00
3.93000000000000e+00    	4.47474504457850e-04 	 -9.99874093249361e+00   1.22465333185040e-15 	1.20454399270691e-03	 -3.80937897072814e-02	1.21727893381445e-20		1.00072603031024e+00
3.96000000000000e+00    	4.81262364866487e-04 	 -9.99992513516549e+00   1.22465371573627e-15 	1.03826253720597e-03	 -4.06988346751118e-02	1.34735580388701e-20		1.00082839344865e+00
3.99000000000000e+00    	5.09004891824761e-04 	 -1.00011672258443e+01   1.22465414124871e-15 	8.00708447505165e-04	 -4.19408833481373e-02	1.49384938959696e-20		1.00087945269650e+00
4.02000000000000e+00    	5.28550467289680e-04 	 -1.00024247067726e+01   1.22465461197468e-15 	4.92120982727994e-04	 -4.17137628973815e-02	1.64737906991790e-20		1.00086976185622e+00
4.05000000000000e+00    	5.37886701045346e-04 	 -1.00036526376986e+01   1.22465512845184e-15 	1.21826191742449e-04	 -3.99607352927219e-02	1.79713891296712e-20		1.00079811910632e+00
4.08000000000000e+00    	5.35423568699649e-04 	 -1.00048051597953e+01   1.22465568795555e-15 	-2.91192227766035e-04	 -3.66788315406210e-02	1.93239277289064e-20		1.00067248462027e+00
4.11000000000000e+00    	5.20275053721908e-04 	 -1.00058371268816e+01   1.22465628475531e-15 	-7.19040977656936e-04	 -3.19214862583429e-02	2.04410117024206e-20		1.00050961929652e+00
4.14000000000000e+00    	4.92498784397061e-04 	 -1.00067057985557e+01   1.22465691084814e-15 	-1.12703795914959e-03	 -2.57992662335027e-02	2.12644892500540e-20		1.00033338060506e+00
4.17000000000000e+00    	4.53253937673514e-04 	 -1.00073725414067e+01   1.22465755710615e-15 	-1.47706429266984e-03	 -1.84785088727956e-02	2.17803235230747e-20		1.00017180374628e+00
4.20000000000000e+00    	4.04844397447021e-04 	 -1.00078044745808e+01   1.22465821470584e-15 	-1.73180744825980e-03	 -1.01777339961229e-02	2.20249020194449e-20		1.00005329129319e+00
4.23000000000000e+00    	3.50626756572683e-04 	 -1.00079759869226e+01   1.22465887664900e-15 	-1.85938299296394e-03	 -1.16177577183424e-03	2.20842532208779e-20		1.00000240351114e+00
4.26000000000000e+00    	2.94780198335248e-04 	 -1.00078700477336e+01   1.22465953915033e-15 	-1.83770801012241e-03	 8.26629736673458e-03	2.20855996653837e-20		1.00003585377870e+00
