t	x	y	z	px	py	pz	gam	Ex	Ey	Ez	Bx	By	Bz
3.10000000e+00	-2.19203097e+00	1.99994013e+00	2.42886556e-09	-9.99999975e-01	3.46116997e-04	1.97412948e-09	1.41421359e+00	0.00000000e+00	6.08453368e-03	0.00000000e+00	-4.84206301e-04	0.00000000e+00	6.08453368e-03
3.15000000e+00	-2.22738630e+00	1.99996102e+00	2.64311527e-09	-9.99999863e-01	8.14571513e-04	1.09355820e-08	1.41421370e+00	0.00000000e+00	4.60145713e-03	0.00000000e+00	-3.66179460e-04	0.00000000e+00	4.60145713e-03
3.20000000e+00	-2.26274163e+00	1.99999541e+00	3.19821328e-09	-9.99999755e-01	1.08811631e-03	1.95135766e-08	1.41421381e+00	0.00000000e+00	1.60543722e-03	0.00000000e+00	-1.27756927e-04	0.00000000e+00	1.60543722e-03
3.25000000e+00	-2.29809696e+00	2.00003445e+00	3.90880232e-09	-9.99999764e-01	1.06656017e-03	1.87481150e-08	1.41421380e+00	0.00000000e+00	-2.15603575e-03	0.00000000e+00	1.71568919e-04	0.00000000e+00	-2.15603575e-03
3.30000000e+00	-2.33345228e+00	2.00006706e+00	4.41003444e-09	-9.99999890e-01	7.28087431e-04	8.73715369e-09	1.41421367e+00	0.00000000e+00	-5.63469738e-03	0.00000000e+00	4.48379937e-04	0.00000000e+00	-5.63469738e-03
3.35000000e+00	-2.36880762e+00	2.00008300e+00	4.54531849e-09	-9.99999996e-01	1.43222499e-04	3.38758250e-10	1.41421357e+00	0.00000000e+00	-7.76827308e-03	0.00000000e+00	6.18153876e-04	0.00000000e+00	-7.76827308e-03
3.40000000e+00	-2.40416296e+00	2.00007604e+00	4.59067802e-09	-9.99999940e-01	-5.37637784e-04	4.76442713e-09	1.41421362e+00	0.00000000e+00	-7.79811841e-03	0.00000000e+00	6.20530954e-04	0.00000000e+00	-7.79811841e-03
3.45000000e+00	-2.43951829e+00	2.00004613e+00	5.02445890e-09	-9.99999739e-01	-1.12180287e-03	2.07404374e-08	1.41421382e+00	0.00000000e+00	-5.52442634e-03	0.00000000e+00	4.39609740e-04	0.00000000e+00	-5.52442634e-03
3.50000000e+00	-2.47487361e+00	2.00000002e+00	6.02032424e-09	-9.99999578e-01	-1.42794265e-03	3.36050012e-08	1.41421398e+00	0.00000000e+00	-1.41624386e-03	0.00000000e+00	1.12701103e-04	0.00000000e+00	-1.41624386e-03
3.55000000e+00	-2.51022892e+00	1.99994983e+00	7.19486266e-09	-9.99999627e-01	-1.34112070e-03	2.96426151e-08	1.41421393e+00	0.00000000e+00	3.46972357e-03	0.00000000e+00	-2.76118756e-04	0.00000000e+00	3.46972357e-03
3.60000000e+00	-2.54558424e+00	1.99990996e+00	7.94750118e-09	-9.99999849e-01	-8.52809457e-04	1.19854995e-08	1.41421371e+00	0.00000000e+00	7.75362784e-03	0.00000000e+00	-6.17041877e-04	0.00000000e+00	7.75362784e-03
3.65000000e+00	-2.58093958e+00	1.99989301e+00	8.11135468e-09	-9.99999999e-01	-7.26009016e-05	8.53891188e-11	1.41421356e+00	0.00000000e+00	1.01163930e-02	0.00000000e+00	-8.05080047e-04	0.00000000e+00	1.01163930e-02
3.70000000e+00	-2.61629491e+00	1.99990587e+00	8.22528487e-09	-9.99999869e-01	7.94295289e-04	1.03970051e-08	1.41421369e+00	0.00000000e+00	9.69783137e-03	0.00000000e+00	-7.71765222e-04	0.00000000e+00	9.69783137e-03
3.75000000e+00	-2.65165024e+00	1.99994726e+00	9.04839520e-09	-9.99999534e-01	1.49990990e-03	3.70779085e-08	1.41421403e+00	0.00000000e+00	6.39086250e-03	0.00000000e+00	-5.08582088e-04	0.00000000e+00	6.39086250e-03
3.80000000e+00	-2.68700554e+00	2.00000739e+00	1.07390382e-08	-9.99999311e-01	1.82346590e-03	5.48002005e-08	1.41421425e+00	0.00000000e+00	9.35289911e-04	0.00000000e+00	-7.44277280e-05	0.00000000e+00	9.35289911e-04
3.85000000e+00	-2.72236084e+00	2.00007016e+00	1.25774168e-08	-9.99999444e-01	1.63896680e-03	4.42721413e-08	1.41421412e+00	0.00000000e+00	-5.23317964e-03	0.00000000e+00	4.16428600e-04	0.00000000e+00	-5.23317964e-03
3.90000000e+00	-2.75771615e+00	2.00011740e+00	1.36404493e-08	-9.99999809e-01	9.60097765e-04	1.51940030e-08	1.41421375e+00	0.00000000e+00	-1.03532862e-02	0.00000000e+00	8.23839981e-04	0.00000000e+00	-1.03532862e-02
3.95000000e+00	-2.79307149e+00	2.00013406e+00	1.38203604e-08	-9.99999999e-01	-5.27379608e-05	4.87809565e-11	1.41421356e+00	0.00000000e+00	-1.28348502e-02	0.00000000e+00	1.02129646e-03	0.00000000e+00	-1.28348502e-02
4.00000000e+00	-2.82842682e+00	2.00011291e+00	1.40857729e-08	-9.99999736e-01	-1.12832593e-03	2.09839721e-08	1.41421383e+00	0.00000000e+00	-1.17433992e-02	0.00000000e+00	9.34457259e-04	0.00000000e+00	-1.17433992e-02
4.05000000e+00	-2.86378213e+00	2.00005722e+00	1.55653822e-08	-9.99999207e-01	-1.95615269e-03	6.30650361e-08	1.41421435e+00	0.00000000e+00	-7.12726612e-03	0.00000000e+00	5.67153586e-04	0.00000000e+00	-7.12726612e-03
4.10000000e+00	-2.89913741e+00	1.99998064e+00	1.83042801e-08	-9.99998928e-01	-2.27500201e-03	8.52992644e-08	1.41421463e+00	0.00000000e+00	-7.76558261e-05	0.00000000e+00	6.17970701e-06	0.00000000e+00	-7.76558261e-05
