tfwhm	phi	r	period	raio_max	px_mean	x_f	eta
370	0.00000000000000e+00	1.00000000000000e+00	2.72619932372688e+02	5.75201414922977e-01	-9.42121261006930e-01	-1.28939872000000e+03	3.01502819209207e+01
380	0.00000000000000e+00	1.00000000000000e+00	2.72494610601204e+02	5.70206091672054e-01	-9.43196947279346e-01	-1.29178205000000e+03	3.01697881595059e+01
390	0.00000000000000e+00	1.00000000000000e+00	2.72370915416133e+02	5.64199140738818e-01	-9.44228738461713e-01	-1.29407397000000e+03	3.01895179298085e+01
400	0.00000000000000e+00	1.00000000000000e+00	2.72262937145515e+02	5.59316871926441e-01	-9.45212650760033e-01	-1.29626380000000e+03	3.02110354770338e+01
410	0.00000000000000e+00	1.00000000000000e+00	2.72143749359766e+02	5.55014308792029e-01	-9.46153971210277e-01	-1.29837473000000e+03	3.02094234937826e+01
420	0.00000000000000e+00	1.00000000000000e+00	2.71995058892812e+02	5.50251509327784e-01	-9.47058610166101e-01	-1.30040158000000e+03	3.02264710628553e+01
430	0.00000000000000e+00	1.00000000000000e+00	2.71933899370534e+02	5.45461957596117e-01	-9.47931429564025e-01	-1.30235878000000e+03	3.02532945898492e+01
440	0.00000000000000e+00	1.00000000000000e+00	2.71768562690588e+02	5.41362696966631e-01	-9.48762151404775e-01	-1.30424382000000e+03	3.02685750013316e+01
450	0.00000000000000e+00	1.00000000000000e+00	2.71716554567643e+02	5.37008668423300e-01	-9.49574881921116e-01	-1.30606187000000e+03	3.02627825294045e+01
460	0.00000000000000e+00	1.00000000000000e+00	2.71557022585748e+02	5.32618710563365e-01	-9.50344155136101e-01	-1.30781426000000e+03	3.02787377843231e+01
470	0.00000000000000e+00	1.00000000000000e+00	2.71479585958563e+02	5.28939008228696e-01	-9.51088996648916e-01	-1.30950609000000e+03	3.02701035633882e+01
480	0.00000000000000e+00	1.00000000000000e+00	2.71542528407393e+02	5.25151803623694e-01	-9.51813893905332e-01	-1.31114946000000e+03	3.03109184954763e+01
490	0.00000000000000e+00	1.00000000000000e+00	2.71284742964439e+02	5.20822536834124e-01	-9.52508485323967e-01	-1.31272947000000e+03	3.02917183525688e+01
500	0.00000000000000e+00	1.00000000000000e+00	2.71189922303257e+02	5.17328864877130e-01	-9.53176579151650e-01	-1.31426433000000e+03	3.03149804338054e+01
510	0.00000000000000e+00	1.00000000000000e+00	2.71061204759540e+02	5.13508603905213e-01	-9.53830915550254e-01	-1.31574952000000e+03	3.03345011749585e+01
520	0.00000000000000e+00	1.00000000000000e+00	2.71050770217435e+02	5.10243493841773e-01	-9.54460735067070e-01	-1.31719013000000e+03	3.03333334437444e+01
530	0.00000000000000e+00	1.00000000000000e+00	2.70896870410607e+02	5.06830463662384e-01	-9.55068914608653e-01	-1.31858808000000e+03	3.03500753086826e+01
540	0.00000000000000e+00	1.00000000000000e+00	2.70850574434161e+02	5.03390461225211e-01	-9.55650349962365e-01	-1.31993761000000e+03	3.03448885142781e+01
550	0.00000000000000e+00	1.00000000000000e+00	2.70748077687621e+02	5.00142845673575e-01	-9.56221297370984e-01	-1.32125463000000e+03	3.03674275459911e+01
560	0.00000000000000e+00	1.00000000000000e+00	2.70708109708768e+02	4.97119076771211e-01	-9.56777824279343e-01	-1.32253834000000e+03	3.03629446897790e+01
570	0.00000000000000e+00	1.00000000000000e+00	2.70591170330828e+02	4.93917897471382e-01	-9.57312635804433e-01	-1.32377663000000e+03	3.03839075829693e+01
580	0.00000000000000e+00	1.00000000000000e+00	2.70510131190369e+02	4.89986591651822e-01	-9.57838031086404e-01	-1.32498359000000e+03	3.03748079299714e+01
590	0.00000000000000e+00	1.00000000000000e+00	2.70405533363327e+02	4.87190771824373e-01	-9.58348206596875e-01	-1.32615958000000e+03	3.03706003381047e+01
600	0.00000000000000e+00	1.00000000000000e+00	3.02902949233414e+02	4.84332031648428e-01	-9.58839425328239e-01	-1.32730119000000e+03	3.40588010911229e+01
610	0.00000000000000e+00	1.00000000000000e+00	2.70190741993953e+02	4.82147661471518e-01	-9.59320651115561e-01	-1.32841595000000e+03	3.03805980150550e+01
620	0.00000000000000e+00	1.00000000000000e+00	2.70206179667992e+02	4.79378844599729e-01	-9.59787983354153e-01	-1.32950291000000e+03	3.04165345937944e+01
630	0.00000000000000e+00	1.00000000000000e+00	2.70122073920145e+02	4.76411031902624e-01	-9.60241015834263e-01	-1.33055752000000e+03	3.04070669887527e+01
640	0.00000000000000e+00	1.00000000000000e+00	2.93241998731491e+02	4.73810544394265e-01	-9.60686985591535e-01	-1.33159034000000e+03	3.30096277210583e+01
