0.00000000000000e+00    	0.00000000000000e+00 	 6.12323399570000e-16  	1.00000000000000e+01    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
2.67000000000000e+00    	3.94388017104637e-05 	 -6.69610831648116e-04   9.99999904585442e+00 	6.14157027115894e-04	 2.25719443565379e-02	-2.59442120140823e-06		1.00025490244618e+00
2.70000000000000e+00    	5.89988554028878e-05 	 3.65015726192660e-05   9.99999896178997e+00 	6.85932254506836e-04	 2.43928778148786e-02	-3.02515076414319e-06		1.00029769718834e+00
2.73000000000000e+00    	8.02860963251634e-05 	 7.85644240100318e-04   9.99999886368670e+00 	7.28124867370546e-04	 2.54258258784513e-02	-3.52677333759782e-06		1.00032344909027e+00
2.76000000000000e+00    	1.02313072285399e-04 	 1.55276154082091e-03   9.99999874983448e+00 	7.34485623606648e-04	 2.55792587865471e-02	-4.06982914744126e-06		1.00032736539883e+00
2.79000000000000e+00    	1.23951454396761e-04 	 2.31046454569454e-03   9.99999861953382e+00 	7.02016361967876e-04	 2.47895623860045e-02	-4.61697985017468e-06		1.00030746035985e+00
2.82000000000000e+00    	1.44041704849611e-04 	 3.02992811280448e-03   9.99999847326280e+00 	6.31728462067200e-04	 2.30252816740075e-02	-5.12788507903763e-06		1.00026524617389e+00
2.85000000000000e+00    	1.61518751339652e-04 	 3.68190056602120e-03   9.99999831267973e+00 	5.28930378371968e-04	 2.02903858324620e-02	-5.56520441506235e-06		1.00020596856625e+00
2.88000000000000e+00    	1.75537987956091e-04 	 4.23779602805139e-03   9.99999814043909e+00 	4.02944007874480e-04	 1.66263681565602e-02	-5.90093486623832e-06		1.00013828969637e+00
2.91000000000000e+00    	1.85583953191707e-04 	 4.67083403159786e-03   9.99999795982402e+00 	2.66224260745641e-04	 1.21130181174268e-02	-6.12213567866348e-06		1.00007339536694e+00
2.94000000000000e+00    	1.91544491301927e-04 	 4.95718565034743e-03   9.99999777422839e+00 	1.32944700396773e-04	 6.86773558747431e-03	-6.23506079603306e-06		1.00002359147436e+00
2.97000000000000e+00    	1.93736365853363e-04 	 5.07708056987810e-03   9.99999758654890e+00 	1.72025963288053e-05	 1.04330233024561e-03	-6.26683856860048e-06		1.00000054440733e+00
3.00000000000000e+00    	1.92874064001969e-04 	 5.01582610056941e-03   9.99999739857067e+00 	-6.89250749844241e-05	 -5.17591478930773e-03	-6.26411258803435e-06		1.00001339735216e+00
3.03000000000000e+00    	1.89981353489795e-04 	 4.76468813488185e-03   9.99999721044154e+00 	-1.17191932423589e-04	 -1.15792816248252e-02	-6.28846570321177e-06		1.00006704452074e+00
3.06000000000000e+00    	1.86254024520344e-04 	 4.32158637037154e-03   9.99999702032883e+00 	-1.24564293035145e-04	 -1.79366066875159e-02	-6.40894295587597e-06		1.00016085577111e+00
3.09000000000000e+00    	1.82890807548229e-04 	 3.69156221814135e-03   9.99999682433474e+00 	-9.39156357054079e-05	 -2.40060318380973e-02	-6.69249624838284e-06		1.00028810771175e+00
3.12000000000000e+00    	1.80916208677610e-04 	 2.88698746400025e-03   9.99999661671479e+00 	-3.38556902973287e-05	 -2.95428191733843e-02	-7.19360840577365e-06		1.00043629450489e+00
3.15000000000000e+00    	1.81022597949694e-04 	 1.92749396202150e-03   9.99999639040063e+00 	4.23639925921098e-05	 -3.43086951177337e-02	-7.94463341826494e-06		1.00058837111897e+00
3.18000000000000e+00    	1.83458411110745e-04 	 8.39617863118643e-04   9.99999613778074e+00 	1.18785107757327e-04	 -3.80813832240751e-02	-8.94844900150756e-06		1.00072484027241e+00
3.21000000000000e+00    	1.87984516224675e-04 	 -3.43835606114217e-04   9.99999585164723e+00 	1.79294338726676e-04	 -4.06639534297016e-02	-1.01748267811087e-05		1.00082645316684e+00
3.24000000000000e+00    	1.93912095858538e-04 	 -1.58469038116017e-03   9.99999552618166e+00 	2.10449165022159e-04	 -4.18936325690803e-02	-1.15614945242140e-05		1.00087717571756e+00
3.27000000000000e+00    	2.00223870278057e-04 	 -2.84053667412967e-03   9.99999515783366e+00 	2.04158585590779e-04	 -4.16497496600671e-02	-1.30202427623618e-05		1.00086699590755e+00
3.30000000000000e+00    	2.05767639393841e-04 	 -4.06607747530680e-03   9.99999474594677e+00 	1.59779298668922e-04	 -3.98605195329698e-02	-1.44476937553959e-05		1.00079412805811e+00
3.33000000000000e+00    	2.09498673733127e-04 	 -5.21465074484186e-03   9.99999429300859e+00 	8.52308677126750e-05	 -3.65083919852120e-02	-1.57396012142131e-05		1.00066621317869e+00
3.36000000000000e+00    	2.10737198417600e-04 	 -6.23988887670765e-03   9.99999380444495e+00 	-3.16060462506164e-06	 -3.16337087368116e-02	-1.68068889193085e-05		1.00050022080003e+00
3.39000000000000e+00    	2.09400750417098e-04 	 -7.09747030148017e-03   9.99999328793723e+00 	-8.22194809467475e-05	 -2.53364222077435e-02	-1.75911678019192e-05		1.00032091918533e+00
3.42000000000000e+00    	2.06169975001719e-04 	 -7.74690873881003e-03   9.99999275231192e+00 	-1.24806263567460e-04	 -1.77756502233124e-02	-1.80772858919725e-05		1.00015798234292e+00
3.45000000000000e+00    	2.02551458921718e-04 	 -8.15331430283379e-03   9.99999220612344e+00 	-1.03742351381792e-04	 -9.16688415554270e-03	-1.83006329627999e-05		1.00004202054839e+00
3.48000000000000e+00    	2.00812754879088e-04 	 -8.28904956674117e-03   9.99999165611320e+00 	3.71843772747381e-06	 2.23252202236108e-04	-1.83474717701654e-05		1.00000002509600e+00
3.51000000000000e+00    	2.03782069756409e-04 	 -8.13519607894997e-03   9.99999110577037e+00 	2.11515527288427e-04	 1.00846742866776e-02	-1.83474722528310e-05		1.00005087157150e+00
3.54000000000000e+00    	2.14526138313635e-04 	 -7.68274619113467e-03   9.99999055422903e+00 	5.21213638522092e-04	 2.00737642372089e-02	-1.84587833017638e-05		1.00020159368751e+00
3.57000000000000e+00    	2.35941365117439e-04 	 -6.93344391575180e-03   9.99998999570869e+00 	9.19903834667864e-04	 2.98252096310586e-02	-1.88472172191911e-05		1.00044509579877e+00
3.60000000000000e+00    	2.70311477691818e-04 	 -5.90021725100708e-03   9.99998941963859e+00 	1.38007090214148e-03	 3.89652554168214e-02	-1.96622273015540e-05		1.00075980940084e+00
3.63000000000000e+00    	3.18895956055349e-04 	 -4.60717065899899e-03   9.99998881151033e+00 	1.86165806151694e-03	 4.71257651858168e-02	-2.10131123126152e-05		1.00111153422415e+00
3.66000000000000e+00    	3.81614803713870e-04 	 -3.08913547633374e-03   9.99998815439261e+00 	2.31623292804947e-03	 5.39584517885104e-02	-2.29491218603552e-05		1.00145737801519e+00
3.69000000000000e+00    	4.56886079061116e-04 	 -1.39080225136010e-03   9.99998743093497e+00 	2.69282535962857e-03	 5.91486749367258e-02	-2.54468008748103e-05		1.00175137519383e+00
3.72000000000000e+00    	5.41654288555247e-04 	 4.34522607610184e-04   9.99998662560282e+00 	2.94472374760491e-03	 6.24282983667824e-02	-2.84070469427903e-05		1.00195107896637e+00
3.75000000000000e+00    	6.31623053700804e-04 	 2.32648543144750e-03   9.99998572683470e+00 	3.03632533262946e-03	 6.35872188226670e-02	-3.16630970784026e-05		1.00202422858516e+00
3.78000000000000e+00    	7.21677896906065e-04 	 4.21953016055027e-03   9.99998472880349e+00 	2.94906385304617e-03	 6.24832850541713e-02	-3.49991911116514e-05		1.00195451948365e+00
