0.00000000000000e+00    	0.00000000000000e+00 	 -5.87785252290000e-01  	-8.09016994370000e-01    -1.00000000000000e+01	 0.00000000000000e+00	0.00000000000000e+00		1.00498756211209e+01
2.49000000000000e+00    	-2.47764228356172e+00 	 -5.87833943289833e-01   -8.09016437924480e-01 	-9.99533985489384e+00	 -2.10091715466362e-02	1.74052318979871e-05		1.00452605839979e+01
2.52000000000000e+00    	-2.50749319157396e+00 	 -5.87893834451555e-01   -8.09016380658660e-01 	-9.99475603369379e+00	 -1.85932165644642e-02	2.09732941854061e-05		1.00446749017179e+01
2.55000000000000e+00    	-2.53734411332914e+00 	 -5.87942128109706e-01   -8.09016313048527e-01 	-9.99489443304621e+00	 -1.33022349964459e-02	2.41413332834207e-05		1.00448042130136e+01
2.58000000000000e+00    	-2.56719507484638e+00 	 -5.87970987747872e-01   -8.09016237829395e-01 	-9.99578306509443e+00	 -5.70994248817788e-03	2.59579819678759e-05		1.00456812456172e+01
2.61000000000000e+00    	-2.59704608618796e+00 	 -5.87974880934285e-01   -8.09016159622372e-01 	-9.99734168629200e+00	 3.23229705037736e-03	2.61899851559229e-05		1.00472310235657e+01
2.64000000000000e+00    	-2.62689714259219e+00 	 -5.87951549581143e-01   -8.09016082308078e-01 	-9.99938741053403e+00	 1.23107138979644e-02	2.55634598722742e-05		1.00492736125691e+01
2.67000000000000e+00    	-2.65674823295464e+00 	 -5.87902558077757e-01   -8.09016006454523e-01 	-1.00016554216275e+01	 2.02109355862040e-02	2.54779858418773e-05		1.00515431479717e+01
2.70000000000000e+00    	-2.68659935045080e+00 	 -5.87833311551706e-01   -8.09015928308441e-01 	-1.00038322600242e+01	 2.57050571849984e-02	2.72887317736847e-05		1.00537217306533e+01
2.73000000000000e+00    	-2.71645049846345e+00 	 -5.87752510364055e-01   -8.09015841147585e-01 	-1.00055975992123e+01	 2.78376826750731e-02	3.15178241006596e-05		1.00554839890944e+01
2.76000000000000e+00    	-2.74630168729566e+00 	 -5.87671088758225e-01   -8.09015738520043e-01 	-1.00066694178675e+01	 2.60833641847646e-02	3.74451683777295e-05		1.00565457877829e+01
2.79000000000000e+00    	-2.77615292248960e+00 	 -5.87600763194029e-01   -8.09015617738444e-01 	-1.00068469022806e+01	 2.04506001791712e-02	4.33664083506091e-05		1.00567093601541e+01
2.82000000000000e+00    	-2.80600419112453e+00 	 -5.87552378335401e-01   -8.09015481638910e-01 	-1.00060452105727e+01	 1.15140004733351e-02	4.74550178307648e-05		1.00558974403324e+01
2.85000000000000e+00    	-2.83585545496970e+00 	 -5.87534277481031e-01   -8.09015337363172e-01 	-1.00043165013087e+01	 3.65597184951558e-04	4.88068754940033e-05		1.00541707163943e+01
2.88000000000000e+00    	-2.86570665692305e+00 	 -5.87550933945896e-01   -8.09015192483384e-01 	-1.00018526455834e+01	 -1.15125717086008e-02	4.80857339454662e-05		1.00517256670476e+01
2.91000000000000e+00    	-2.89555774049055e+00 	 -5.87602057944463e-01   -8.09015050366279e-01 	-9.99896707529088e+00	 -2.24409486308633e-02	4.73444740914804e-05		1.00488728806353e+01
2.94000000000000e+00    	-2.92540867440766e+00 	 -5.87682340321081e-01   -8.09014907358799e-01 	-9.99605629867549e+00	 -3.07759757957493e-02	4.90201799837158e-05		1.00459986407215e+01
2.97000000000000e+00    	-2.95525947015875e+00 	 -5.87781913969483e-01   -8.09014753656894e-01 	-9.99354533275723e+00	 -3.51529330492235e-02	5.45803655875065e-05		1.00435145267757e+01
3.00000000000000e+00    	-2.98511018211929e+00 	 -5.87887514147551e-01   -8.09014577822767e-01 	-9.99182482430389e+00	 -3.47027769756917e-02	6.35616293910064e-05		1.00418010140784e+01
3.03000000000000e+00    	-3.01496088811542e+00 	 -5.87984212727553e-01   -8.09014372791057e-01 	-9.99118992908569e+00	 -2.92090901766178e-02	7.36078068224250e-05		1.00411517952589e+01
3.06000000000000e+00    	-3.04481165856216e+00 	 -5.88057504839656e-01   -8.09014140065078e-01 	-9.99179128154395e+00	 -1.91779831103487e-02	8.16084846483818e-05		1.00417259878785e+01
3.09000000000000e+00    	-3.07466252931103e+00 	 -5.88095456610326e-01   -8.09013889449613e-01 	-9.99360640316158e+00	 -5.80525236914208e-03	8.54099280486920e-05		1.00435154527467e+01
3.12000000000000e+00    	-3.10451349246219e+00 	 -5.88090594553089e-01   -8.09013633944177e-01 	-9.99643620660243e+00	 9.16018742801199e-03	8.51738625813643e-05		1.00463336968747e+01
3.15000000000000e+00    	-3.13436451031695e+00 	 -5.88041239047110e-01   -8.09013382188531e-01 	-9.99992693872678e+00	 2.36418268296282e-02	8.35567621051713e-05		1.00498307310537e+01
3.18000000000000e+00    	-3.16421554482445e+00 	 -5.87952055361048e-01   -8.09013132540900e-01 	-1.00036141198814e+01	 3.55210449943300e-02	8.44732456738953e-05		1.00535345630909e+01
3.21000000000000e+00    	-3.19406658544137e+00 	 -5.87833705124670e-01   -8.09012872372500e-01 	-1.00069824915962e+01	 4.29432744161913e-02	9.10002023648661e-05		1.00569151691864e+01
3.24000000000000e+00    	-3.22391765807859e+00 	 -5.87701610873551e-01   -8.09012583542519e-01 	-1.00095347079493e+01	 4.46009493525599e-02	1.03532944486660e-04		1.00594619301951e+01
3.27000000000000e+00    	-3.25376880769345e+00 	 -5.87573975369591e-01   -8.09012251577970e-01 	-1.00108609966660e+01	 3.99511003991107e-02	1.19276676871538e-04		1.00607620983312e+01
3.30000000000000e+00    	-3.28362006227297e+00 	 -5.87469307041240e-01   -8.09011873713475e-01 	-1.00107017022588e+01	 2.93332706726834e-02	1.33505361654546e-04		1.00605670332343e+01
3.33000000000000e+00    	-3.31347139819571e+00 	 -5.87403779517537e-01   -8.09011461094719e-01 	-1.00089943388943e+01	 1.39661658604345e-02	1.42056724541518e-04		1.00588350592893e+01
3.36000000000000e+00    	-3.34332272896685e+00 	 -5.87388788876455e-01   -8.09011033274540e-01 	-1.00058969697331e+01	 -4.18250196456129e-03	1.43772400641338e-04		1.00557442132796e+01
3.39000000000000e+00    	-3.37317392885073e+00 	 -5.87429063085353e-01   -8.09010607309098e-01 	-1.00017812418180e+01	 -2.26410296215285e-02	1.41486272478099e-04		1.00516735246138e+01
3.42000000000000e+00    	-3.40302488446028e+00 	 -5.87521623174753e-01   -8.09010187081763e-01 	-9.99719196314249e+00	 -3.87647725416560e-02	1.40840766602590e-04		1.00471563078986e+01
3.45000000000000e+00    	-3.43287555037427e+00 	 -5.87655796935355e-01   -8.09009758972139e-01 	-9.99277571155182e+00	 -5.01103292340588e-02	1.47372568769212e-04		1.00428122300576e+01
3.48000000000000e+00    	-3.46272597917610e+00 	 -5.87814350123992e-01   -8.09009297040719e-01 	-9.98918756656006e+00	 -5.48008841481331e-02	1.63348900818293e-04		1.00392664773630e+01
3.51000000000000e+00    	-3.49257630666437e+00 	 -5.87975640968581e-01   -8.09008775793544e-01 	-9.98699074835234e+00	 -5.18285344780068e-02	1.86142148382598e-04		1.00370648318774e+01
3.54000000000000e+00    	-3.52242669552026e+00 	 -5.88116542410355e-01   -8.09008184013189e-01 	-9.98656668097214e+00	 -4.12452322018383e-02	2.09240293106765e-04		1.00365938089804e+01
3.57000000000000e+00    	-3.55227726395441e+00 	 -5.88215739824228e-01   -8.09007531817505e-01 	-9.98805152701955e+00	 -2.42077346966762e-02	2.25587571976420e-04		1.00380157088792e+01
3.60000000000000e+00    	-3.58212803639823e+00 	 -5.88256927409358e-01   -8.09006846190073e-01 	-9.99130984151513e+00	 -2.86220152406713e-03	2.31571954141793e-04		1.00412290380700e+01
3.63000000000000e+00    	-3.61197894364975e+00 	 -5.88231415300738e-01   -8.09006156398487e-01 	-9.99594845464941e+00	 1.99220756188294e-02	2.29432779061760e-04		1.00458639474036e+01
3.66000000000000e+00    	-3.64182987372281e+00 	 -5.88139729741847e-01   -8.09005476680070e-01 	-1.00013665319830e+01	 4.09367595339803e-02	2.26556978958164e-04		1.00513187381895e+01
3.69000000000000e+00    	-3.67168074584385e+00 	 -5.87991930944804e-01   -8.09004795824088e-01 	-1.00068329989415e+01	 5.70841766925696e-02	2.31777901961179e-04		1.00568367455007e+01
3.72000000000000e+00    	-3.70153156513857e+00 	 -5.87806561910203e-01   -8.09004080187083e-01 	-1.00115807384018e+01	 6.58291107319290e-02	2.50515158608510e-04		1.00616143046787e+01
3.75000000000000e+00    	-3.73138242410080e+00 	 -5.87608341918541e-01   -8.09003289601168e-01 	-1.00149072159877e+01	 6.55873802936941e-02	2.81411303934777e-04		1.00649226687784e+01
3.78000000000000e+00    	-3.76123344553524e+00 	 -5.87424897518766e-01   -8.09002398308818e-01 	-1.00162717496895e+01	 5.59936165848436e-02	3.16497665881812e-04		1.00662224865585e+01
3.81000000000000e+00    	-3.79108469540865e+00 	 -5.87282958240059e-01   -8.09001409582899e-01 	-1.00153792638791e+01	 3.80062392352364e-02	3.45103783577747e-04		1.00652504386457e+01
3.84000000000000e+00    	-3.82093611440358e+00 	 -5.87204522515292e-01   -8.09000355274029e-01 	-1.00122391342879e+01	 1.38287226178475e-02	3.59640200556482e-04		1.00620635977456e+01
3.87000000000000e+00    	-3.85078751164232e+00 	 -5.87203518289936e-01   -8.08999279197343e-01 	-1.00071871209417e+01	 -1.33496400083565e-02	3.60169125901456e-04		1.00570359657382e+01
3.90000000000000e+00    	-3.88063863374531e+00 	 -5.87283442087340e-01   -8.08998212220856e-01 	-1.00008604835610e+01	 -3.97655923445407e-02	3.55077563977917e-04		1.00508105066241e+01
