0.00000000000000e+00    	0.00000000000000e+00 	 9.51056516300000e-01  	3.09016994370000e-01    -1.00000000000000e+01	 0.00000000000000e+00	0.00000000000000e+00		1.00498756211209e+01
1.32000000000000e+00    	-1.31344913853875e+00 	 9.51062708507177e-01   3.09016994179739e-01 	-9.99969288128541e+00	 3.41716753312454e-03	3.09272062514222e-08		1.00495706075963e+01
1.35000000000000e+00    	-1.34330023922950e+00 	 9.51072864904660e-01   3.09016994221076e-01 	-9.99941151825314e+00	 3.30263068717184e-03	-9.67048828230648e-09		1.00492906027611e+01
1.38000000000000e+00    	-1.37315133258801e+00 	 9.51081908041996e-01   3.09016994091872e-01 	-9.99918061436283e+00	 2.66906604596678e-03	-7.97898777634545e-08		1.00490606567262e+01
1.41000000000000e+00    	-1.40300242106493e+00 	 9.51088308790918e-01   3.09016993745235e-01 	-9.99904276711981e+00	 1.54356392050525e-03	-1.49058726113196e-07		1.00489232578063e+01
1.44000000000000e+00    	-1.43285350784170e+00 	 9.51090739732744e-01   3.09016993240774e-01 	-9.99903160738214e+00	 3.41397781744043e-05	-1.79738315576668e-07		1.00489120349714e+01
1.47000000000000e+00    	-1.46270459640061e+00 	 9.51088310060624e-01   3.09016992734606e-01 	-9.99916532143145e+00	 -1.67699896928140e-03	-1.48746006343002e-07		1.00490452251765e+01
1.50000000000000e+00    	-1.49255569021012e+00 	 9.51080761110092e-01   3.09016992405012e-01 	-9.99944185038165e+00	 -3.35296934922017e-03	-6.64361179689633e-08		1.00493208010078e+01
1.53000000000000e+00    	-1.52240679252885e+00 	 9.51068586192257e-01   3.09016992343443e-01 	-9.99983672565713e+00	 -4.73287602806269e-03	2.07820661083896e-08		1.00497142715560e+01
1.56000000000000e+00    	-1.55225790619594e+00 	 9.51053046411047e-01   3.09016992470694e-01 	-1.00003041857603e+01	 -5.56997030951584e-03	4.99435005278704e-08		1.00501798407941e+01
1.59000000000000e+00    	-1.58210903322898e+00 	 9.51036067711309e-01   3.09016992537719e-01 	-1.00007817767778e+01	 -5.67202237513936e-03	-2.35198200083996e-08		1.00506551188750e+01
1.62000000000000e+00    	-1.61196017415297e+00 	 9.51020021852818e-01   3.09016992232083e-01 	-1.00011981178609e+01	 -4.93768639459992e-03	-1.93574279442210e-07		1.00510690065013e+01
