0.00000000000000e+00    	0.00000000000000e+00 	 3.09016994370000e-01  	-9.51056516300000e-01    -1.00000000000000e+01	 0.00000000000000e+00	0.00000000000000e+00		1.00498756211209e+01
3.06000000000000e+00    	-3.04481277941379e+00 	 3.09317497958996e-01   -9.51052725114920e-01 	-9.99915649284198e+00	 8.03107903264896e-03	9.55376191423523e-05		1.00490395101075e+01
3.09000000000000e+00    	-3.07466381681406e+00 	 3.09320056992451e-01   -9.51052439975052e-01 	-9.99575787335813e+00	 -6.47025990683175e-03	9.56232008818226e-05		1.00456566403699e+01
3.12000000000000e+00    	-3.10451473063064e+00 	 3.09278956067714e-01   -9.51052151219425e-01 	-9.99276836979812e+00	 -2.08555599894196e-02	9.84548874747157e-05		1.00427015616573e+01
3.15000000000000e+00    	-3.13436548682428e+00 	 3.09197652831808e-01   -9.51051846447998e-01 	-9.99064629201665e+00	 -3.30361698485172e-02	1.06535574288065e-04		1.00406227263081e+01
3.18000000000000e+00    	-3.16421610014807e+00 	 3.09085631012661e-01   -9.51051509284778e-01 	-9.98975236381464e+00	 -4.11276011853691e-02	1.19855502232140e-04		1.00397631338735e+01
3.21000000000000e+00    	-3.19406664385521e+00 	 3.08957354922391e-01   -9.51051127690640e-01 	-9.99028844825723e+00	 -4.37366459203468e-02	1.35620435042704e-04		1.00403075745702e+01
3.24000000000000e+00    	-3.22391723056354e+00 	 3.08830428427845e-01   -9.51050700703553e-01 	-9.99225599630107e+00	 -4.01918991655432e-02	1.49553975354913e-04		1.00422505100570e+01
3.27000000000000e+00    	-3.25376796988932e+00 	 3.08723190819032e-01   -9.51050239535484e-01 	-9.99544341886045e+00	 -3.06801487885567e-02	1.58197593724087e-04		1.00453885159409e+01
3.30000000000000e+00    	-3.28361892222343e+00 	 3.08652081689515e-01   -9.51049761773917e-01 	-9.99944695054059e+00	 -1.62634876963278e-02	1.60989961763765e-04		1.00493384779111e+01
3.33000000000000e+00    	-3.31347007231988e+00 	 3.08629157235107e-01   -9.51049281286466e-01 	-1.00037232396956e+01	 1.23109035012637e-03	1.60904947844300e-04		1.00535804665751e+01
3.36000000000000e+00    	-3.34332133773762e+00 	 3.08660131304194e-01   -9.51048799168279e-01 	-1.00076655983271e+01	 1.94390711064037e-02	1.63132522436143e-04		1.00575219926201e+01
3.39000000000000e+00    	-3.37317260937880e+00 	 3.08743247570122e-01   -9.51048301006745e-01 	-1.00106914208953e+01	 3.57745488073371e-02	1.72358942849680e-04		1.00605776460617e+01
3.42000000000000e+00    	-3.40302380374500e+00 	 3.08869176245624e-01   -9.51047762647030e-01 	-1.00123268856255e+01	 4.77930031437244e-02	1.90058562169536e-04		1.00622549099042e+01
3.45000000000000e+00    	-3.43287489901059e+00 	 3.09021988434717e-01   -9.51047162021170e-01 	-1.00122766681383e+01	 5.35505633057421e-02	2.13340641492184e-04		1.00622339362435e+01
3.48000000000000e+00    	-3.46272593452260e+00 	 3.09181113926284e-01   -9.51046490933843e-01 	-1.00104699430518e+01	 5.19083683278823e-02	2.36161702902427e-04		1.00604275761629e+01
3.51000000000000e+00    	-3.49257697281339e+00 	 3.09324052077302e-01   -9.51045760125516e-01 	-1.00070778994189e+01	 4.27362905994661e-02	2.52452674455313e-04		1.00570092243820e+01
3.54000000000000e+00    	-3.52242804477017e+00 	 3.09429494567554e-01   -9.51044994064777e-01 	-1.00025011824581e+01	 2.69821520665714e-02	2.59579744529240e-04		1.00524006092568e+01
3.57000000000000e+00    	-3.55227911037158e+00 	 3.09480444462239e-01   -9.51044217369081e-01 	-9.99732784445956e+00	 6.58944484262232e-03	2.60206228126411e-04		1.00472188947040e+01
3.60000000000000e+00    	-3.58213006172678e+00 	 3.09466888535753e-01   -9.51043439704179e-01 	-9.99226422871591e+00	 -1.57331518841525e-02	2.61329346845933e-04		1.00421905985117e+01
3.63000000000000e+00    	-3.61198077325546e+00 	 3.09387609049772e-01   -9.51042647615019e-01 	-9.98804380346855e+00	 -3.68656694148874e-02	2.70747059096500e-04		1.00380465316162e+01
3.66000000000000e+00    	-3.64183117632027e+00 	 3.09250813539812e-01   -9.51041808689551e-01 	-9.98532292269355e+00	 -5.37095100559231e-02	2.92708752304044e-04		1.00354152214853e+01
3.69000000000000e+00    	-3.67168131778235e+00 	 3.09073413994347e-01   -9.51040886953044e-01 	-9.98457724740468e+00	 -6.36393198824933e-02	3.25158306272087e-04		1.00347313306413e+01
