0.00000000000000e+00    	0.00000000000000e+00 	 1.00000000000000e+00  	-2.44929359830000e-16    -1.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.41421356237310e+00
2.61000000000000e+00    	-1.84567570964601e+00 	 9.99898403615972e-01   3.23733765345669e-06 	-1.00069109193484e+00	 1.53959826465301e-02	2.34296883359530e-05		1.41478609630868e+00
2.64000000000000e+00    	-1.86688771087874e+00 	 1.00023419042446e+00   3.76282714233162e-06 	-9.99318559171117e-01	 1.59938402626885e-02	2.52849374645371e-05		1.41382226120171e+00
2.67000000000000e+00    	-1.88808496884844e+00 	 1.00056524246111e+00   4.27336645203006e-06 	-9.97930976821011e-01	 1.49135632153843e-02	2.19811370283342e-05		1.41283001431520e+00
2.70000000000000e+00    	-1.90926832763444e+00 	 1.00085561136080e+00   4.66687736892464e-06 	-9.96674288317632e-01	 1.21576624152871e-02	1.45947472727883e-05		1.41191623192096e+00
2.73000000000000e+00    	-1.93044005267400e+00 	 1.00107124361415e+00   4.88578064966348e-06 	-9.95686986637211e-01	 7.91045590367865e-03	6.15166529694711e-06		1.41118926820931e+00
2.76000000000000e+00    	-1.95160360415857e+00 	 1.00118383860754e+00   4.94892153443391e-06 	-9.95086239965692e-01	 2.53011052610726e-03	5.84998245511484e-07		1.41074555694097e+00
2.79000000000000e+00    	-1.97276333956189e+00 	 1.00117434915602e+00   4.95465398856967e-06 	-9.94956231785605e-01	 -3.47914709058611e-03	1.15034160135624e-06		1.41065587853126e+00
2.82000000000000e+00    	-1.99392418422229e+00 	 1.00103568835421e+00   5.04964017516764e-06 	-9.95339168106945e-01	 -9.51289875609817e-03	8.92021654579334e-06		1.41095377489489e+00
2.85000000000000e+00    	-2.01509127866761e+00 	 1.00077426675945e+00   5.37238441159818e-06 	-9.96229089406583e-01	 -1.49264464468805e-02	2.20302907482304e-05		1.41162856228851e+00
2.88000000000000e+00    	-2.03626958458896e+00 	 1.00041010484234e+00   5.99294546787481e-06 	-9.97568727994654e-01	 -1.91027852763254e-02	3.61059951583087e-05		1.41262460858567e+00
2.91000000000000e+00    	-2.05746342599475e+00 	 9.99975431700564e-01   6.87468268767518e-06 	-9.99250062174279e-01	 -2.15213841935777e-02	4.58308567580777e-05		1.41384718369185e+00
2.94000000000000e+00    	-2.07867596662201e+00 	 9.99511864242276e-01   7.87730177180346e-06 	-1.00111961427136e+00	 -2.18201399390625e-02	4.71118555008444e-05		1.41517370057718e+00
2.97000000000000e+00    	-2.09990867251942e+00 	 9.99066430179068e-01   8.80465062587662e-06 	-1.00298953474621e+00	 -1.98434042634263e-02	3.89747061407633e-05		1.41646806141975e+00
3.00000000000000e+00    	-2.12116085973763e+00 	 9.98686829172766e-01   9.48177989966284e-06 	-1.00465485687387e+00	 -1.56702948380599e-02	2.43434141989106e-05		1.41759547832700e+00
3.03000000000000e+00    	-2.14242945611993e+00 	 9.98416408055459e-01   9.83165822272346e-06 	-1.00591602203593e+00	 -9.61937792026730e-03	9.24612385773965e-06		1.41843560865683e+00
3.06000000000000e+00    	-2.16370909409022e+00 	 9.98289357951006e-01   9.91901942784500e-06 	-1.00660419326030e+00	 -2.22806790948762e-03	6.10756385179977e-07		1.41889286634904e+00
3.09000000000000e+00    	-2.18499259343818e+00 	 9.98326628104743e-01   9.93927428635750e-06 	-1.00660552185454e+00	 5.79242172384066e-03	3.42919019337807e-06		1.41890388285791e+00
3.12000000000000e+00    	-2.20627180223505e+00 	 9.98532997766188e-01   1.01511068137558e-05 	-1.00587994764448e+00	 1.36231775688673e-02	1.84207444646752e-05		1.41844282943644e+00
3.15000000000000e+00    	-2.22753866705179e+00 	 9.98895656764795e-01   1.07747921608573e-05 	-1.00447064306847e+00	 2.04189250464012e-02	4.12417175419639e-05		1.41752538142614e+00
3.18000000000000e+00    	-2.24878633292839e+00 	 9.99384521636490e-01   1.18951311609058e-05 	-1.00250185528133e+00	 2.53968309013982e-02	6.37555627623099e-05		1.41621148594661e+00
3.21000000000000e+00    	-2.27001005568279e+00 	 9.99954364463126e-01   1.34105627314464e-05 	-1.00016527095559e+00	 2.79237565776661e-02	7.70679833123710e-05		1.41460606224721e+00
3.24000000000000e+00    	-2.29120775481898e+00 	 1.00054866531640e+00   1.50556719672381e-05 	-9.97697447162066e-01	 2.75926117671458e-02	7.52470514222882e-05		1.41285581499315e+00
3.27000000000000e+00    	-2.31238013344577e+00 	 1.00110492512820e+00   1.64966635445310e-05 	-9.95352565422599e-01	 2.42790396047631e-02	5.82220792772706e-05		1.41114003722072e+00
3.30000000000000e+00    	-2.33353041074757e+00 	 1.00156100149869e+00   1.74681106746915e-05 	-9.93375216369553e-01	 1.81710997069052e-02	3.25145532148613e-05		1.40965403926602e+00
