0.00000000000000e+00    	0.00000000000000e+00 	 6.12323399570000e-17  	1.00000000000000e+00    -1.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.41421356237310e+00
1.14000000000000e+00    	-8.06114133585455e-01 	 -8.89931095078017e-05   9.99999964790429e-01 	-1.00003655913743e+00	 -1.30813469704975e-04	-3.38208893706699e-07		1.41423941987335e+00
1.17000000000000e+00    	-8.27327049024960e-01 	 -8.69372387415164e-05   9.99999957612708e-01 	-9.99906241842849e-01	 3.35036961843855e-04	-3.37748047186863e-07		1.41414730658661e+00
1.20000000000000e+00    	-8.48538510003956e-01 	 -7.44997659850053e-05   9.99999950391359e-01 	-9.99764942887167e-01	 8.39780304789173e-04	-3.47349395029992e-07		1.41404761102915e+00
1.23000000000000e+00    	-8.69748474215171e-01 	 -5.14059358158174e-05   9.99999942569767e-01 	-9.99627650443608e-01	 1.32984608105611e-03	-3.99862005103009e-07		1.41395092136261e+00
1.26000000000000e+00    	-8.90957070482451e-01 	 -1.85969573682770e-05   9.99999932913231e-01 	-9.99511216598250e-01	 1.74516927929637e-03	-5.23860990792388e-07		1.41386905960977e+00
1.29000000000000e+00    	-9.12164610461196e-01 	 2.16980511376641e-05   9.99999919759069e-01 	-9.99432535689074e-01	 2.02566616411711e-03	-7.28802822219784e-07		1.41381381260682e+00
1.32000000000000e+00    	-9.33371578736035e-01 	 6.60387670282550e-05   9.99999901543879e-01 	-9.99406445846951e-01	 2.11862152748930e-03	-9.94989239839667e-07		1.41379550591965e+00
1.35000000000000e+00    	-9.54578599079185e-01 	 1.10010209077098e-04   9.99999877432696e-01 	-9.99443592036873e-01	 1.98616884872192e-03	-1.27489981038505e-06		1.41382157238171e+00
1.38000000000000e+00    	-9.75786377820021e-01 	 1.48611361071580e-04   9.99999847769181e-01 	-9.99548530153743e-01	 1.61193019900404e-03	-1.50871450928590e-06		1.41389527987533e+00
1.41000000000000e+00    	-9.96995628891018e-01 	 1.76767743949483e-04   9.99999814069937e-01 	-9.99718356172638e-01	 1.00587571204386e-03	-1.65056741549610e-06		1.41401478190901e+00
1.44000000000000e+00    	-1.01820698847752e+00 	 1.89920593594700e-04   9.99999778429912e-01 	-9.99942105220281e-01	 2.06575798573032e-04	-1.69572216306516e-06		1.41417264026313e+00
1.47000000000000e+00    	-1.03942092956530e+00 	 1.84629935244692e-04   9.99999742456811e-01 	-1.00020108428017e+00	 -7.19748979350026e-04	-1.69563442573577e-06		1.41435594071532e+00
1.50000000000000e+00    	-1.06063768747403e+00 	 1.59119767787988e-04   9.99999706115062e-01 	-1.00047018985578e+00	 -1.68364312649147e-03	-1.75023859295327e-06		1.41454707784764e+00
1.53000000000000e+00    	-1.08185720648503e+00 	 1.13692582689864e-04   9.99999667006824e-01 	-1.00072013628213e+00	 -2.58015886955245e-03	-1.97506629761340e-06		1.41472522009902e+00
