0.00000000000000e+00    	0.00000000000000e+00 	 1.54508497190000e+00  	-4.75528258150000e+00    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
1.47000000000000e+00    	3.21272206193569e-05 	 1.54448755704282e+00   -4.75528213668261e+00 	1.60339056160725e-05	 -8.71538388547125e-03	3.23456818573466e-06		1.00003797837073e+00
1.50000000000000e+00    	3.21336639739141e-05 	 1.54422288741097e+00   -4.75528202603139e+00 	-1.65019872277266e-05	 -8.87730008791906e-03	4.15721170881791e-06		1.00003940259694e+00
1.53000000000000e+00    	3.10867601937411e-05 	 1.54395830638809e+00   -4.75528188669804e+00 	-5.40545639210054e-05	 -8.70286200247727e-03	5.13546052889477e-06		1.00003787066056e+00
1.56000000000000e+00    	2.88517657427900e-05 	 1.54370444638277e+00   -4.75528171810214e+00 	-9.54567488550851e-05	 -8.15770433445556e-03	6.09480325256243e-06		1.00003327809086e+00
1.59000000000000e+00    	2.53398166209388e-05 	 1.54347279310736e+00   -4.75528152201756e+00 	-1.38805613252975e-04	 -7.21974195164954e-03	6.95481692613562e-06		1.00002607165474e+00
1.62000000000000e+00    	2.05305089361587e-05 	 1.54327528112261e+00   -4.75528130254970e+00 	-1.81444589842061e-04	 -5.88153493930101e-03	7.64302907817378e-06		1.00001731256704e+00
1.65000000000000e+00    	1.44934824667290e-05 	 1.54312382437778e+00   -4.75528106566102e+00 	-2.20051838300465e-04	 -4.15222416965210e-03	8.11082806468187e-06		1.00000864468971e+00
1.68000000000000e+00    	7.40555708045163e-06 	 1.54302979651622e+00   -4.75528081821801e+00 	-2.50849895966847e-04	 -2.05890419339661e-03	8.34900627146352e-06		1.00000215103861e+00
1.71000000000000e+00    	-4.40237819819558e-07 	 1.54300347959334e+00   -4.75528056661319e+00 	-2.69934404277846e-04	 3.52686028290614e-04	8.40003184999931e-06		1.00000009866128e+00
1.74000000000000e+00    	-8.63702748877307e-06 	 1.54305350326685e+00   -4.75528031510514e+00 	-2.73698686664889e-04	 3.01825308754797e-03	8.36408894805276e-06		1.00000459240577e+00
