0.00000000000000e+00    	0.00000000000000e+00 	 3.00000000000000e+00  	-7.34788079490000e-16    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
1.29000000000000e+00    	6.95432621032848e-05 	 2.99891875564166e+00   -7.34788176506111e-16 	3.76770928883574e-04	 6.57492038524130e-03	-3.54201503147548e-22		1.00002168553207e+00
1.32000000000000e+00    	8.06833051636624e-05 	 2.99914765708826e+00   -7.34788187840491e-16 	3.63799644816081e-04	 8.68566999425133e-03	-4.09309544617176e-22		1.00003778589283e+00
1.35000000000000e+00    	9.12338612561288e-05 	 2.99943942102675e+00   -7.34788201633594e-16 	3.37166696979497e-04	 1.07506849521881e-02	-5.21352971697408e-22		1.00005784378121e+00
1.38000000000000e+00    	1.00755819346920e-04 	 2.99979122827952e+00   -7.34788219868984e-16 	2.94898983145265e-04	 1.26723272371528e-02	-7.08146583459337e-22		1.00008033419472e+00
1.41000000000000e+00    	1.08749988421059e-04 	 3.00019722546873e+00   -7.34788244995124e-16 	2.34996759998559e-04	 1.43465431981111e-02	-9.82279843030476e-22		1.00010293396491e+00
1.44000000000000e+00    	1.14660301696305e-04 	 3.00064839394781e+00   -7.34788279715717e-16 	1.55724377606375e-04	 1.56669936554068e-02	-1.34764659523168e-21		1.00012273193858e+00
1.47000000000000e+00    	1.17887831796170e-04 	 3.00113255151634e+00   -7.34788326684883e-16 	5.60389992926597e-05	 1.65297622730246e-02	-1.79668329767107e-21		1.00013660875961e+00
1.50000000000000e+00    	1.17819342487602e-04 	 3.00163450144278e+00   -7.34788388139220e-16 	-6.38754941832418e-05	 1.68384751617232e-02	-2.30903253635330e-21		1.00014175911510e+00
1.53000000000000e+00    	1.13872631913306e-04 	 3.00213633786007e+00   -7.34788465519241e-16 	-2.02035248372773e-04	 1.65096307098662e-02	-2.85225832723442e-21		1.00013629507404e+00
1.56000000000000e+00    	1.05558504646761e-04 	 3.00261791038872e+00   -7.34788559148252e-16 	-3.54138935463054e-04	 1.54779109775967e-02	-3.38500693250510e-21		1.00011983839069e+00
1.59000000000000e+00    	9.25560519757527e-05 	 3.00305744404346e+00   -7.34788668043378e-16 	-5.13219970398831e-04	 1.37012254000833e-02	-3.86264313057386e-21		1.00009398906913e+00
1.62000000000000e+00    	7.47944213691459e-05 	 3.00343230320204e+00   -7.34788789927766e-16 	-6.69584597187282e-04	 1.11652247049678e-02	-4.24493587943328e-21		1.00006255333666e+00
1.65000000000000e+00    	5.25309822743839e-05 	 3.00371988073668e+00   -7.34788921493065e-16 	-8.11132994873136e-04	 7.88701889124649e-03	-4.50488391178574e-21		1.00003143100791e+00
1.68000000000000e+00    	2.64134140447061e-05 	 3.00389858544457e+00   -7.34789058927545e-16 	-9.24118706792314e-04	 3.91783959965924e-03	-4.63734575506380e-21		1.00000810169844e+00
1.71000000000000e+00    	-2.48757398895503e-06 	 3.00394889291405e+00   -7.34789198680536e-16 	-9.94339279077447e-04	 -6.55593229422719e-04	-4.66586373417412e-21		1.00000070925629e+00
1.74000000000000e+00    	-3.26868790089772e-05 	 3.00385441739866e+00   -7.34789338384181e-16 	-1.00867474813244e-03	 -5.71120497361522e-03	-4.64603490683980e-21		1.00001681750208e+00
1.77000000000000e+00    	-6.23432809347288e-05 	 3.00360295587400e+00   -7.34789477806919e-16 	-9.56811611533137e-04	 -1.10933509910386e-02	-4.66404546928909e-21		1.00006198704114e+00
1.80000000000000e+00    	-8.93696410635555e-05 	 3.00318745114420e+00   -7.34789619679212e-16 	-8.32922440185099e-04	 -1.66163306906203e-02	-4.82956622974728e-21		1.00013838852701e+00
1.83000000000000e+00    	-1.11589599645593e-04 	 3.00260681958762e+00   -7.34789770220260e-16 	-6.37030671437936e-04	 -2.20696211245564e-02	-5.26306289789046e-21		1.00024370729571e+00
1.86000000000000e+00    	-1.26926999303900e-04 	 3.00186659157322e+00   -7.34789939211584e-16 	-3.75789684123204e-04	 -2.72247225919521e-02	-6.07859887439277e-21		1.00037059469883e+00
1.89000000000000e+00    	-1.33606678099978e-04 	 3.00097931891183e+00   -7.34790139512170e-16 	-6.24529640652112e-05	 -3.18434113268268e-02	-7.36423692587093e-21		1.00050687491156e+00
1.92000000000000e+00    	-1.30339978265693e-04 	 2.99996471340627e+00   -7.34790385987148e-16 	2.84092110865254e-04	 -3.56871079878638e-02	-9.16298574207845e-21		1.00063662254830e+00
1.95000000000000e+00    	-1.16466626806727e-04 	 2.99884949244972e+00   -7.34790693918469e-16 	6.41220068672653e-04	 -3.85270047183159e-02	-1.14576996572453e-20		1.00074209527517e+00
1.98000000000000e+00    	-9.20273965348705e-05 	 2.99766692012544e+00   -7.34791077067818e-16 	9.85231085137149e-04	 -4.01545530379733e-02	-1.41632812584819e-20		1.00080635430136e+00
2.01000000000000e+00    	-5.77492982567611e-05 	 2.99645604388869e+00   -7.34791545652239e-16 	1.29446936488646e-03	 -4.03918987358563e-02	-1.71288895898001e-20		1.00081625742912e+00
2.04000000000000e+00    	-1.49363905363693e-05 	 2.99526063675650e+00   -7.34792104555040e-16 	1.55246004146901e-03	 -3.91018513375573e-02	-2.01516451912686e-20		1.00076538954452e+00
