0.00000000000000e+00    	0.00000000000000e+00 	 -9.27050983120000e-01  	2.85316954890000e+00    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
2.25000000000000e+00    	-3.18459133880775e-05 	 -9.27786053815208e-01   2.85317170459716e+00 	-4.66561649699873e-04	 1.02340523607075e-03	6.52279706269702e-06		1.00000063254010e+00
2.28000000000000e+00    	-4.57366223894133e-05 	 -9.27741110171669e-01   2.85317190068203e+00 	-4.56392578651441e-04	 1.97616191847874e-03	6.56737509921748e-06		1.00000205677451e+00
2.31000000000000e+00    	-5.90396724573670e-05 	 -9.27667461358781e-01   2.85317210025920e+00 	-4.27276011729094e-04	 2.93112920043549e-03	6.77402537947322e-06		1.00000438705491e+00
2.34000000000000e+00    	-7.11807686917770e-05 	 -9.27565590280510e-01   2.85317230982479e+00 	-3.78957616050810e-04	 3.85134476117803e-03	7.25045314490700e-06		1.00000748823092e+00
2.37000000000000e+00    	-8.15905542703040e-05 	 -9.27437114424857e-01   2.85317253890876e+00 	-3.12027320200491e-04	 4.69836401052939e-03	8.08835464511276e-06		1.00001108596397e+00
2.40000000000000e+00    	-8.97303272533076e-05 	 -9.27284808859525e-01   2.85317279934110e+00 	-2.27936816505523e-04	 5.43370944028455e-03	9.34673249749414e-06		1.00001478851107e+00
2.43000000000000e+00    	-9.51175202704620e-05 	 -9.27112584024834e-01   2.85317310405085e+00 	-1.28966326578522e-04	 6.02042510690252e-03	1.10378926972210e-05		1.00001813097194e+00
2.46000000000000e+00    	-9.73494302851566e-05 	 -9.26925416048747e-01   2.85317346551944e+00 	-1.81420833126036e-05	 6.42467802065939e-03	1.31188267920432e-05		1.00002063828148e+00
2.49000000000000e+00    	-9.61238041947549e-05 	 -9.26729229145892e-01   2.85317389408519e+00 	1.00889151470879e-04	 6.61734261360113e-03	1.54902067813086e-05		1.00002189958112e+00
2.52000000000000e+00    	-9.12551433826457e-05 	 -9.26530731622887e-01   2.85317439634967e+00 	2.24017930798815e-04	 6.57550133336806e-03	1.80043052204766e-05		1.00002164362876e+00
2.55000000000000e+00    	-8.26859585060450e-05 	 -9.26337209019173e-01   2.85317497395786e+00 	3.46848679163506e-04	 6.28379398279694e-03	2.04818883254422e-05		1.00001980319908e+00
2.58000000000000e+00    	-7.04926389544459e-05 	 -9.26156279886939e-01   2.85317562300379e+00 	4.64880032376608e-04	 5.73555079841986e-03	2.27366757882460e-05		1.00001655644962e+00
