y	z	phi	r	period	thetamin	thetamax
2.41277899490000e+00	4.25438035280000e-01	1.74532925196409e-01	2.45000000001909e+00	2.02000000000000e+03	3.13569243488194e+00	8.23736353722478e-03
2.46201938250000e+00	4.34120444170000e-01	1.74532925202606e-01	2.49999999997041e+00	1.94000000000000e+03	3.13614719005937e+00	9.05211896999296e-03
2.51125977020000e+00	4.42802853050000e-01	1.74532925197888e-01	2.55000000001847e+00	1.88000000000000e+03	3.13448260379314e+00	1.11766165469550e-02
2.56050015780000e+00	4.51485261930000e-01	1.74532925200031e-01	2.59999999996804e+00	1.82000000000000e+03	3.13426542093581e+00	9.42344357551019e-03
2.60974054550000e+00	4.60167670820000e-01	1.74532925199256e-01	2.65000000001784e+00	1.78000000000000e+03	3.13146992747015e+00	1.17419369687599e-02
2.65898093310000e+00	4.68850079700000e-01	1.74532925201293e-01	2.69999999996742e+00	1.74000000000000e+03	3.13281072088986e+00	1.24635514518340e-02
2.70822132080000e+00	4.77532488580000e-01	1.74532925196942e-01	2.75000000001547e+00	1.70000000000000e+03	3.13296677091464e+00	1.57266045323308e-02
2.75746170840000e+00	4.86214897470000e-01	1.74532925202466e-01	2.79999999996679e+00	1.64000000000000e+03	3.13195525031083e+00	1.20850109930148e-02
2.80670209610000e+00	4.94897306350000e-01	1.74532925198247e-01	2.85000000001485e+00	1.62000000000000e+03	3.13304886728541e+00	1.45820022787704e-02
2.85594248370000e+00	5.03579715230000e-01	1.74532925200161e-01	2.89999999996442e+00	1.58000000000000e+03	3.13087029368824e+00	2.00678326664279e-02
2.90518287140000e+00	5.12262124120000e-01	1.74532925199463e-01	2.95000000001422e+00	1.56000000000000e+03	3.13138993502496e+00	1.25025446593717e-02
2.95442325900000e+00	5.20944533000000e-01	1.74532925201293e-01	2.99999999996379e+00	1.52000000000000e+03	3.13030817617185e+00	1.44785369042682e-02
3.00366364670000e+00	5.29626941880000e-01	1.74532925197370e-01	3.05000000001185e+00	1.50000000000000e+03	3.13174304395943e+00	1.44398722914749e-02
3.05290403430000e+00	5.38309350770000e-01	1.74532925202352e-01	3.09999999996317e+00	1.46000000000000e+03	3.13227049404583e+00	1.44320846871313e-02
3.10214442200000e+00	5.46991759650000e-01	1.74532925198537e-01	3.15000000001122e+00	1.46000000000000e+03	3.13017463844300e+00	1.20457185154958e-02
3.15138480960000e+00	5.55674168530000e-01	1.74532925200267e-01	3.19999999996080e+00	1.52000000000000e+03	3.12925672797955e+00	1.21761069764173e-02
3.20062519730000e+00	5.64356577420000e-01	1.74532925199632e-01	3.25000000001060e+00	1.40000000000000e+03	3.13573190419735e+00	1.61128197348079e-02
3.24986558490000e+00	5.73038986300000e-01	1.74532925201293e-01	3.29999999996017e+00	1.42000000000000e+03	3.12346646287989e+00	1.77727288973898e-02
